date,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20180217,0.011304721,-0.029161253,-0.027692406,-0.017176274,0.001101791,0.001298795,-0.000690082,-0.004021527
20180218,0.011304721,-0.029161253,-0.027692406,-0.017176274,0.001101791,0.001298795,-0.000690082,-0.004021527
20180219,0.017079734,-0.019312277,-0.018708288,-0.008941187,8.33E-05,0.000469998,-0.001511181,-0.004789655
20180220,0.001265346,-0.028382063,-0.029084172,-0.020378249,-0.000138857,0.000349627,-0.001637594,-0.004865802
20180221,0.003605189,-0.021109849,-0.022516907,-0.014698889,-0.000101818,0.000500134,-0.00143972,-0.004623284
20180222,-0.004313869,-0.024899528,-0.027899542,-0.021090262,9.25E-05,0.000849787,-0.001047701,-0.004199851
20180223,0.008574559,-0.008126493,-0.012289832,-0.006244809,0.00058308,0.001273472,-0.000525423,-0.003638472
20180224,0.008574559,-0.008126493,-0.012289832,-0.006244809,0.00058308,0.001273472,-0.000525423,-0.003638472
20180225,0.008574559,-0.008126493,-0.012289832,-0.006244809,0.00058308,0.001273472,-0.000525423,-0.003638472
20180226,0.009864182,-0.003538227,-0.009486493,-0.004026242,0.000582972,0.001440155,-0.000295082,-0.003346221
20180227,0.005852921,-0.001749928,-0.009708927,-0.004926644,0.001285656,0.002470176,0.000903005,-0.002096346
20180228,-0.005746678,-0.010010138,-0.020749763,-0.016794266,0.000416089,0.001768453,0.000415318,-0.002548674
20180301,-0.005746678,-0.010010138,-0.020749763,-0.016794266,0.000416089,0.001768453,0.000415318,-0.002548674
20180302,-0.015090844,-0.016968679,-0.030432292,-0.027099733,0.00064701,0.00215223,0.001094244,-0.001853201
20180303,-0.015090844,-0.016968679,-0.030432292,-0.027099733,0.00064701,0.00215223,0.001094244,-0.001853201
20180304,-0.015090844,-0.016968679,-0.030432292,-0.027099733,0.00064701,0.00215223,0.001094244,-0.001853201
20180305,-0.020057944,-0.02423731,-0.040722855,-0.038113997,-0.001072277,0.000252227,-0.000598818,-0.003533178
