종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2355","-25","-1.05","2380","2380","2325","43718","102421790","114303791910","48536642"
"095570","AJ네트웍스","KOSPI",,"5910","30","0.51","5920","5950","5880","57437","339934170","276719763450","46822295"
"006840","AK홀딩스","KOSPI",,"17100","-500","-2.84","17400","17400","17000","3746","64138650","226533293100","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","13100","0","0.00","12900","13100","12850","18179","234647850","267164295100","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","18550","-50","-0.27","18550","18750","18200","16315","301585100","283470359550","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","10800","200","1.89","10500","10950","10500","92488","998156950","162888883200","15082304"
"027410","BGF","KOSPI",,"4245","95","2.29","4160","4280","4120","343032","1452973050","406317777795","95716791"
"282330","BGF리테일","KOSPI",,"212000","5500","2.66","207000","213500","204000","6849","1434009500","3664188072000","17283906"
"138930","BNK금융지주","KOSPI",,"7260","30","0.41","7240","7280","7210","347100","2517484900","2366289885960","325935246"
"001460","BYC","KOSPI",,"363000","4000","1.11","359000","363500","359000","40","14495000","226735245000","624615"
"001465","BYC우","KOSPI",,"140500","-500","-0.35","141000","141000","140000","22","3088000","30261592500","215385"
"013720","CBI","KOSDAQ","벤처기업부","480","-17","-3.42","496","523","476","13345587","6576785114","129763529280","270340686"
"001040","CJ","KOSPI",,"81000","300","0.37","80300","81000","80000","8179","659180900","2363336838000","29176998"
"079160","CJ CGV","KOSPI",,"18700","-50","-0.27","18800","19200","18700","164472","3114098050","892236129400","47713162"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","98400","1700","1.76","96000","99000","95100","80309","7828703000","2157828753600","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","27850","50","0.18","27600","27850","27500","1365","37852150","163721015200","5878672"
"00104K","CJ4우(전환)","KOSPI",,"70100","-500","-0.71","70500","70500","69000","1665","115716200","296278491200","4226512"
"000120","CJ대한통운","KOSPI",,"89900","-1800","-1.96","91200","91400","89400","18861","1697659900","2050829725600","22812344"
"011150","CJ씨푸드","KOSPI",,"2730","25","0.92","2730","2730","2700","9375","25456910","98091010290","35930773"
"011155","CJ씨푸드1우","KOSPI",,"25700","700","2.80","25000","25700","25000","30","755200","5140000000","200000"
"001045","CJ우","KOSPI",,"50000","-100","-0.20","49900","50000","49600","102","5094150","113011150000","2260223"
"097950","CJ제일제당","KOSPI",,"374500","-1500","-0.40","373500","376000","373000","3340","1249842000","5637792657000","15054186"
"097955","CJ제일제당 우","KOSPI",,"170000","-1000","-0.58","171000","171000","169000","167","28399000","225663610000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","31450","-350","-1.10","31750","31750","31200","11482","359929450","373361379700","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2365","-25","-1.05","2565","2575","2360","4165252","10311030275","328480157060","138892244"
"023460","CNH","KOSDAQ","중견기업부","2660","-20","-0.75","2655","2680","2650","7034","18747135","98952000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","3100","0","0.00","0","0","0","0","0","110511763600","35648956"
"065770","CS","KOSDAQ","벤처기업부","1560","-40","-2.50","1585","1585","1555","12863","20186395","30281362800","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1040","20","1.96","1020","1080","972","41935","43916065","41029240720","39451193"
"000590","CS홀딩스","KOSPI",,"60700","-300","-0.49","60800","61400","60400","895","54551200","70077057400","1154482"
"012030","DB","KOSPI",,"833","4","0.48","829","833","826","60735","50312753","167577886189","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2020","15","0.75","2010","2025","1990","16639","33563560","11796800000","5840000"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2010","-10","-0.50","2020","2020","2010","82","165490","12160500000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2010","10","0.50","2015","2015","1995","1633","3258200","9728400000","4840000"
"016610","DB금융투자","KOSPI",,"4640","-25","-0.54","4665","4665","4620","14850","68871290","196951244960","42446389"
"005830","DB손해보험","KOSPI",,"65000","300","0.46","64100","65700","64000","33374","2164607000","4602000000000","70800000"
"000990","DB하이텍","KOSPI",,"40850","300","0.74","40550","41150","40000","102752","4195369450","1813682319800","44398588"
"000995","DB하이텍1우","KOSPI",,"78100","-1500","-1.88","80800","80800","78100","289","22715100","8771879600","112316"
"139130","DGB금융지주","KOSPI",,"7860","10","0.13","7870","7880","7800","110648","867468590","1329486247380","169145833"
"001530","DI동일","KOSPI",,"16950","-250","-1.45","17050","17100","16750","13619","229412950","433382176500","25568270"
"000210","DL","KOSPI",,"61700","-100","-0.16","61500","62100","61000","8771","539875300","1292978042800","20955884"
"001880","DL건설","KOSPI",,"15000","300","2.04","14700","15000","14700","4065","60300050","330799260000","22053284"
"000215","DL우","KOSPI",,"35600","-300","-0.84","36200","36200","35250","674","24106250","60025694000","1686115"
"375500","DL이앤씨","KOSPI",,"36300","-300","-0.82","36550","36550","36150","36713","1333326400","1404578514900","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"27200","-300","-1.09","27300","27300","27100","1303","35403850","57445067200","2111951"
"37550K","DL이앤씨우","KOSPI",,"24700","-350","-1.40","25050","25050","24650","484","11963000","52212959500","2113885"
"068790","DMS","KOSDAQ","우량기업부","6050","-20","-0.33","6070","6130","5950","62174","376646530","148667019050","24573061"
"007340","DN오토모티브","KOSPI",,"67500","-1400","-2.03","68300","68300","67000","10583","712318300","674595337500","9994005"
"004840","DRB동일","KOSPI",,"4270","5","0.12","4205","4270","4205","816","3452055","85101100000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","4265","-5","-0.12","4265","4350","4230","48961","210466735","118615633795","27811403"
"155660","DSR","KOSPI",,"5900","-130","-2.16","6000","6000","5900","7541","44700670","94400000000","16000000"
"069730","DSR제강","KOSPI",,"5330","20","0.38","5250","5370","5210","26676","140633690","76752000000","14400000"
"017940","E1","KOSPI",,"48400","-50","-0.10","48400","48500","48200","2182","105481850","332024000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","2110","-75","-3.43","2130","2165","2110","770536","1640853705","177400214410","84075931"
"037370","EG","KOSDAQ","중견기업부","8190","-60","-0.73","8230","8250","8100","4840","39414980","70638520680","8624972"
"278990","EMB","KONEX","일반기업부","4200","0","0.00","0","0","0","0","0","15238532400","3628222"
"365550","ESR켄달스퀘어리츠","KOSPI",,"3905","-85","-2.13","4020","4020","3885","61961","242622665","832112545000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","4270","0","0.00","4300","4305","4270","5279","22657510","57918647220","13564086"
"084180","EV수성","KOSDAQ","중견기업부","1535","5","0.33","1530","1565","1530","513485","792422110","96207329975","62675785"
"383220","F&F","KOSPI",,"138000","-2500","-1.78","138500","141500","137500","68905","9587542000","5286376350000","38307075"
"007700","F&F홀딩스","KOSPI",,"31550","0","0.00","31900","33550","30750","1030871","33028624100","1234058278850","39114367"
"214270","FSN","KOSDAQ","중견기업부","3820","-50","-1.29","3820","3860","3775","141885","542291245","121010479520","31678136"
"130500","GH신소재","KOSDAQ","중견기업부","4485","-5","-0.11","4490","4575","4455","156916","709848060","65234558220","14545052"
"114090","GKL","KOSPI",,"18400","300","1.66","17950","18550","17900","145549","2669316550","1138144328000","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","2390","15","0.63","2355","2420","2355","10590","25196945","161026250000","67375000"
"078930","GS","KOSPI",,"45700","-300","-0.65","45350","45800","45200","32747","1491018100","4246232774600","92915378"
"083450","GST","KOSDAQ","우량기업부","21500","150","0.70","21200","21550","20900","11871","251831900","200331517500","9317745"
"006360","GS건설","KOSPI",,"22000","-250","-1.12","22200","22200","21900","299038","6587356350","1882792780000","85581490"
"001250","GS글로벌","KOSPI",,"2435","0","0.00","2435","2450","2410","132553","321708420","200969715340","82533764"
"007070","GS리테일","KOSPI",,"28800","300","1.05","28250","28850","28250","28913","824686350","3015876153600","104717922"
"078935","GS우","KOSPI",,"36100","0","0.00","36100","36100","35900","485","17467600","64432218600","1784826"
"297890","HB솔루션","KOSDAQ","벤처기업부","13600","-150","-1.09","13600","13900","13600","8564","117044300","227393264800","16720093"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2010","0","0.00","2010","2015","1990","37634","75436585","158770756260","78990426"
"012630","HDC","KOSPI",,"5740","-50","-0.86","5780","5780","5680","9961","57020840","342917478540","59741721"
"039570","HDC랩스","KOSPI",,"7930","-10","-0.13","7940","7950","7900","4753","37703530","205843775930","25957601"
"089470","HDC현대EP","KOSPI",,"4030","-10","-0.25","4070","4070","3990","6501","26068975","128557000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"10150","-100","-0.98","10250","10300","10050","60575","614318950","668959399500","65907330"
"267250","HD현대","KOSPI",,"64700","-200","-0.31","64500","64800","64100","30182","1946155200","5110852599500","78993085"
"097230","HJ중공업","KOSPI",,"4155","-90","-2.12","4220","4220","4080","10233","42327345","346004637555","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","벤처기업부","39400","-100","-0.25","39100","39550","39000","24583","965233700","1138837260600","28904499"
"014790","HL D&I","KOSPI",,"2975","-25","-0.83","2970","2985","2950","6888","20418355","112629337975","37858601"
"028300","HLB","KOSDAQ","중견기업부","32500","-50","-0.15","32600","32800","32400","136188","4438495950","3474363132500","106903481"
"003580","HLB글로벌","KOSPI",,"6530","-100","-1.51","6640","6670","6510","92240","608269550","276656784260","42367042"
"343090","HLB사이언스","KONEX","일반기업부","2425","-20","-0.82","2685","2685","2420","1386","3425095","28035820275","11561163"
"067630","HLB생명과학","KOSDAQ","중견기업부","11000","-50","-0.45","11200","11200","10950","142430","1574592300","1063526959000","96684269"
"047920","HLB제약","KOSDAQ","기술성장기업부","12200","-200","-1.61","12350","12500","12200","60120","740236700","340028030000","27871150"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","10650","-50","-0.47","10800","10900","10600","17912","191704000","335268102450","31480573"
"204320","HL만도","KOSPI",,"43650","-1700","-3.75","45050","45250","43000","161648","7040913450","2049678288000","46957120"
"060980","HL홀딩스","KOSPI",,"32850","-50","-0.15","32750","32850","32500","3865","126236750","344007499500","10472070"
"011200","HMM","KOSPI",,"22700","900","4.13","21850","23000","21800","2957873","67145745500","11101196559200","489039496"
"403870","HPSP","KOSDAQ","중견기업부","57800","400","0.70","56900","58100","56200","24918","1419447100","1161734569200","20099214"
"036640","HRS","KOSDAQ","우량기업부","5600","10","0.18","5540","5620","5530","32962","183743080","91586880000","16354800"
"082740","HSD엔진","KOSPI",,"7590","-70","-0.91","7680","7710","7550","157322","1199375760","543018914460","71543994"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","2005","5","0.25","2010","2010","2000","4003","8018045","10365850000","5170000"
"388790","IBKS제16호스팩","KOSDAQ","SPAC(소속부없음)","2405","-35","-1.43","2395","2440","2375","33959","81694485","8201050000","3410000"
"405350","IBKS제17호스팩","KOSDAQ","SPAC(소속부없음)","2375","0","0.00","0","0","0","0","0","6460000000","2720000"
"424760","IBKS제18호스팩","KOSDAQ","SPAC(소속부없음)","2135","0","0.00","0","0","0","0","0","9031050000","4230000"
"426550","IBKS제19호스팩","KOSDAQ","SPAC(소속부없음)","2045","-5","-0.24","2050","2055","2045","4850","9922585","10388600000","5080000"
"439730","IBKS제20호스팩","KOSDAQ","SPAC(소속부없음)","2025","-5","-0.25","2030","2030","2020","18148","36749410","8727750000","4310000"
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)","2015","15","0.75","2005","2015","2005","21878","43974925","8483150000","4210000"
"003560","IHQ","KOSPI",,"502","-2","-0.40","504","512","495","1230811","619186094","104464015296","208095648"
"095340","ISC","KOSDAQ","우량기업부","33150","500","1.53","32650","33500","32300","43335","1427777300","576792463650","17399471"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","2570","0","0.00","0","0","0","0","0","63350158190","24649867"
"175330","JB금융지주","KOSPI",,"8340","10","0.12","8330","8370","8280","127182","1061495580","1642837335960","196982894"
"950170","JTC","KOSDAQ","관리종목(소속부없음)","3565","-45","-1.25","3610","3615","3495","24551","87055795","124794668105","35005517"
"234080","JW생명과학","KOSPI",,"12350","-50","-0.40","12400","12500","12300","4623","57194200","195556741900","15834554"
"067290","JW신약","KOSDAQ","중견기업부","3720","-30","-0.80","3730","3775","3705","385299","1442393170","171594065640","46127437"
"001060","JW중외제약","KOSPI",,"19850","-250","-1.24","20300","20350","19700","40747","812806250","440234907850","22178081"
"001067","JW중외제약2우B","KOSPI",,"66400","0","0.00","0","0","0","0","0","13280000000","200000"
"001065","JW중외제약우","KOSPI",,"34500","-600","-1.71","35400","35400","34500","97","3348300","11235097500","325655"
"096760","JW홀딩스","KOSPI",,"3160","-15","-0.47","3180","3205","3150","9985","31608045","222605270960","70444706"
"035900","JYP Ent.","KOSDAQ GLOBAL","우량기업부","67000","1800","2.76","65200","67500","65000","226358","15097095700","2378331964000","35497492"
"318000","KBG","KOSDAQ","벤처기업부","6350","30","0.47","6280","6390","6230","19533","123230600","52259388750","8229825"
"024840","KBI메탈","KOSDAQ","중견기업부","1450","0","0.00","1450","1455","1410","78630","113014420","47778729600","32950848"
"105560","KB금융","KOSPI",,"52500","600","1.16","51300","52500","51300","203547","10586208300","21467096070000","408897068"
"432320","KB스타리츠","KOSPI",,"4485","-40","-0.88","4525","4525","4465","17589","78731250","454843068225","101414285"
"024120","KB오토시스","KOSDAQ","우량기업부","4050","-75","-1.82","4080","4100","4005","9792","39532200","46575000000","11500000"
"002380","KCC","KOSPI",,"231500","500","0.22","230000","231500","229000","3563","819502500","2057218036500","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","6770","-70","-1.02","6830","6830","6690","22624","152250070","144878000000","21400000"
"344820","KCC글라스","KOSPI",,"38900","-300","-0.77","39100","39250","38700","3920","152571900","621252916800","15970512"
"036670","KCI","KOSDAQ","우량기업부","9250","10","0.11","9220","9270","9100","10336","95255790","104247500000","11270000"
"009070","KCTC","KOSPI",,"4760","10","0.21","4715","4765","4715","11166","52896850","142800000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"2870","-55","-1.88","2925","2930","2865","11800","34223220","64388392600","22434980"
"112190","KC산업","KONEX","일반기업부","3340","95","2.93","3365","3365","3340","2","6705","23798345020","7125253"
"119650","KC코트렐","KOSPI",,"2155","-10","-0.46","2165","2165","2100","53480","114101810","37928982680","17600456"
"044180","KD","KOSDAQ","중견기업부","821","-10","-1.20","820","830","806","24790","20217492","20400734261","24848641"
"092220","KEC","KOSPI",,"2285","0","0.00","2280","2295","2260","217479","495096650","330783777185","144763141"
"151860","KG ETS","KOSDAQ","우량기업부","10300","150","1.48","10100","10350","10100","51311","524308100","370800000000","36000000"
"046440","KG모빌리언스","KOSDAQ","우량기업부","5990","10","0.17","5970","5990","5890","23956","141894390","232565152320","38825568"
"016380","KG스틸","KOSPI",,"8050","-10","-0.12","8050","8130","7980","78763","634233730","805071620850","100008897"
"035600","KG이니시스","KOSDAQ","우량기업부","12850","150","1.18","12700","12900","12650","24990","319259800","358571976900","27904434"
"001390","KG케미칼","KOSPI",,"22500","200","0.90","22150","22600","22150","10734","240596700","311987160000","13866096"
"226360","KH 건설","KOSDAQ","벤처기업부","540","1","0.19","539","554","531","4467038","2423656220","66755086740","123620531"
"111870","KH 전자","KOSDAQ","중견기업부","293","0","0.00","290","294","289","123708","36107915","46868227846","159959822"
"033180","KH 필룩스","KOSPI",,"931","-8","-0.85","936","948","929","308342","287571837","149192670865","160249915"
"060720","KH바텍","KOSDAQ","중견기업부","15450","-50","-0.32","15500","15650","15200","51201","788718850","365816478900","23677442"
"001940","KISCO홀딩스","KOSPI",,"15450","50","0.32","15400","15550","15400","3942","60973250","249925071000","16176380"
"058400","KNN","KOSDAQ","우량기업부","911","6","0.66","907","911","904","67581","61322596","120643474920","132429720"
"114450","KPX생명과학","KOSDAQ","중견기업부","5560","-150","-2.63","5620","5680","5520","361774","2026561220","83400000000","15000000"
"025000","KPX케미칼","KOSPI",,"50600","0","0.00","50800","50800","50300","220","11116700","244904000000","4840000"
"092230","KPX홀딩스","KOSPI",,"56500","-200","-0.35","56200","56500","56000","317","17825800","238692499000","4224646"
"000040","KR모터스","KOSPI",,"564","-6","-1.05","576","576","560","106528","60280979","54222094260","96138465"
"044450","KSS해운","KOSPI",,"9350","-50","-0.53","9350","9410","9320","4557","42672190","215852978000","23085880"
"030200","KT","KOSPI",,"36200","-100","-0.28","36350","36500","36100","140252","5087557200","9452247449600","261111808"
"033780","KT&G","KOSPI",,"96900","-600","-0.62","96600","97200","95900","123146","11890690000","13303642959300","137292497"
"058850","KTcs","KOSPI",,"2315","-5","-0.22","2305","2320","2295","7991","18420460","98815775000","42685000"
"058860","KTis","KOSPI",,"2530","-10","-0.39","2520","2535","2515","4886","12329555","88049060000","34802000"
"060370","KT서브마린","KOSDAQ","중견기업부","5390","-40","-0.74","5320","5400","5320","17528","93770490","139807070480","25938232"
"122450","KX","KOSDAQ","중견기업부","5730","-20","-0.35","5700","5760","5670","9041","51695210","259775073720","45335964"
"052900","KX하이텍","KOSDAQ","벤처기업부","1300","0","0.00","1300","1300","1275","43072","55570475","67116459800","51628046"
"093050","LF","KOSPI",,"16300","100","0.62","16150","16400","16000","2345","38105050","476612000000","29240000"
"003550","LG","KOSPI",,"79700","-300","-0.38","79000","80500","79000","39398","3142813800","12536889142100","157300993"
"034220","LG디스플레이","KOSPI",,"13250","-150","-1.12","13300","13350","13050","425039","5603431550","4741058025000","357815700"
"051900","LG생활건강","KOSPI",,"692000","-1000","-0.14","687000","703000","687000","9702","6759697000","10807792324000","15618197"
"051905","LG생활건강우","KOSPI",,"309500","-3500","-1.12","313000","315000","309000","3922","1221974500","649856221500","2099697"
"373220","LG에너지솔루션","KOSPI",,"476500","-9000","-1.85","482500","483000","474000","119069","56830617000","111501000000000","234000000"
"003555","LG우","KOSPI",,"62000","100","0.16","61900","62200","61700","155","9613300","187340440000","3021620"
"032640","LG유플러스","KOSPI",,"11650","-50","-0.43","11700","11850","11650","269080","3164408450","5086522355650","436611361"
"011070","LG이노텍","KOSPI",,"282000","1500","0.53","281500","282500","278500","40997","11506601000","6674124174000","23667107"
"066570","LG전자","KOSPI",,"87000","-200","-0.23","87200","87800","86500","174588","15207227900","14237359818000","163647814"
"066575","LG전자우","KOSPI",,"42250","-250","-0.59","42500","42500","42200","5331","225640200","726108162000","17185992"
"037560","LG헬로비전","KOSPI",,"4885","-25","-0.51","4825","4960","4825","105932","516536340","378327935525","77446865"
"051910","LG화학","KOSPI",,"637000","-8000","-1.24","640000","643000","632000","35499","22619642000","44967322491000","70592343"
"051915","LG화학우","KOSPI",,"302000","-3000","-0.98","304000","307500","299500","2720","820934500","2322017600000","7688800"
"079550","LIG넥스원","KOSPI",,"89300","1500","1.71","87800","90000","87100","46706","4147612200","1964600000000","22000000"
"006260","LS","KOSPI",,"71400","-300","-0.42","71300","72100","70500","22656","1615251200","2299080000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"56800","300","0.53","56200","56900","55300","19692","1108476300","1704000000000","30000000"
"000680","LS네트웍스","KOSPI",,"2535","-15","-0.59","2540","2550","2510","3229","8162425","199765645560","78803016"
"229640","LS전선아시아","KOSPI",,"7710","20","0.26","7710","7740","7630","21277","163391870","236117817090","30624879"
"108320","LX세미콘","KOSPI",,"80800","200","0.25","80100","81000","79700","27538","2213591100","1314155440000","16264300"
"001120","LX인터내셔널","KOSPI",,"40200","450","1.13","39750","40200","39300","76836","3057571650","1558152000000","38760000"
"108670","LX하우시스","KOSPI",,"33950","-100","-0.29","33850","34100","33500","4846","163975750","304452396500","8967670"
"108675","LX하우시스우","KOSPI",,"17200","50","0.29","17150","17300","17100","494","8500800","17756076000","1032330"
"383800","LX홀딩스","KOSPI",,"8990","10","0.11","8980","9030","8960","17032","153164680","685763403100","76280690"
"38380K","LX홀딩스1우","KOSPI",,"11500","100","0.88","11300","11600","11200","502","5657250","16850777500","1465285"
"086960","MDS테크","KOSDAQ","중견기업부","7690","500","6.95","7090","7960","7040","3639027","27628805440","170960388800","22231520"
"023150","MH에탄올","KOSPI",,"8090","-30","-0.37","8110","8120","8050","3508","28351900","59692275340","7378526"
"035420","NAVER","KOSPI",,"182500","2000","1.11","179500","184000","179500","225277","40913829000","29938958012500","164049085"
"160550","NEW","KOSDAQ","중견기업부","7980","680","9.32","7480","8200","7470","1751748","13943007320","222690725880","27906106"
"053290","NE능률","KOSDAQ","중견기업부","4165","-15","-0.36","4300","4380","4140","137521","587228690","68832068655","16526307"
"181710","NHN","KOSPI",,"24950","50","0.20","24700","25150","24650","12349","308089650","898629090100","36017198"
"104200","NHN벅스","KOSDAQ","중견기업부","6400","-30","-0.47","6380","6480","6290","34219","217998250","94896320000","14827550"
"060250","NHN한국사이버결제","KOSDAQ GLOBAL","우량기업부","13750","-50","-0.36","13700","13850","13600","80115","1101463850","552208401250","40160611"
"400760","NH올원리츠","KOSPI",,"3340","-20","-0.60","3380","3390","3325","21768","72750175","140948000000","42200000"
"005940","NH투자증권","KOSPI",,"9550","80","0.84","9480","9570","9480","87519","834710060","3167409545550","331665921"
"005945","NH투자증권우","KOSPI",,"9450","-20","-0.21","9460","9490","9430","27960","264422220","178330647600","18870968"
"338100","NH프라임리츠","KOSPI",,"4020","10","0.25","4050","4050","4005","4808","19287745","75013200000","18660000"
"034310","NICE","KOSPI",,"13550","-50","-0.37","13600","13650","13500","3212","43578300","513305165000","37882300"
"030190","NICE평가정보","KOSDAQ GLOBAL","우량기업부","13050","250","1.95","12800","13200","12750","18637","242406700","792328401000","60714820"
"008260","NI스틸","KOSPI",,"4340","0","0.00","4325","4360","4265","26544","114319140","124124507780","28600117"
"004250","NPC","KOSPI",,"6580","-50","-0.75","6600","6620","6540","59942","393572450","241617600000","36720000"
"004255","NPC우","KOSPI",,"3535","-5","-0.14","3540","3550","3490","6706","23576770","18664800000","5280000"
