종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"047040","대우건설","KOSPI",,"4500","140","3.21","4360","4525","4355","1399245","6254287040","1870301871000","415622638"
"009320","대우부품","KOSPI",,"1525","-40","-2.56","1560","1560","1525","106700","164343780","72660721875","47646375"
"042660","대우조선해양","KOSPI",,"18300","-400","-2.14","18700","18700","18250","294486","5416902800","1963419242700","107290669"
"003090","대웅","KOSPI",,"20550","-200","-0.96","20650","21100","20500","26349","544983200","1194817689000","58141980"
"069620","대웅제약","KOSPI",,"154000","500","0.33","154000","156000","152500","18498","2858992000","1784332550000","11586575"
"007680","대원","KOSDAQ","우량기업부","7490","-40","-0.53","7510","7580","7460","12557","94271900","100714090260","13446474"
"000430","대원강업","KOSPI",,"3580","20","0.56","3565","3630","3540","282306","1009524620","221960000000","62000000"
"048910","대원미디어","KOSDAQ","우량기업부","14400","-700","-4.64","15050","15100","14300","240808","3515798500","181136822400","12578946"
"005710","대원산업","KOSDAQ","우량기업부","5600","-70","-1.23","5670","5670","5550","8274","46202030","112210560000","20037600"
"006340","대원전선","KOSPI",,"1145","-20","-1.72","1160","1170","1135","227984","261393535","82399391430","71964534"
"006345","대원전선우","KOSPI",,"2450","5","0.20","2435","2480","2435","1605","3920925","6421940000","2621200"
"003220","대원제약","KOSPI",,"18600","-550","-2.87","19000","19500","18450","515275","9769830500","406605486000","21860510"
"024890","대원화성","KOSPI",,"2370","-90","-3.66","2430","2490","2370","124223","300694270","97760490240","41249152"
"290380","대유","KOSDAQ","중견기업부","3875","-65","-1.65","3885","4000","3815","579535","2265402290","95765246500","24713612"
"002880","대유에이텍","KOSPI",,"694","-6","-0.86","691","698","680","289067","198557003","79933271750","115177625"
"290120","대유에이피","KOSDAQ","중견기업부","5970","-160","-2.61","6110","6200","5940","14175","85392390","69577436640","11654512"
"000300","대유플러스","KOSPI",,"846","-3","-0.35","850","890","829","587129","499898990","102364962804","120998774"
"120240","대정화금","KOSDAQ","우량기업부","17100","-300","-1.72","17500","17550","17100","128310","2215650250","122955686100","7190391"
"003310","대주산업","KOSDAQ","중견기업부","2460","25","1.03","2435","2555","2435","1381622","3446867935","87065181000","35392350"
"114920","대주이엔티","KONEX","일반기업부","2475","245","10.99","2500","2500","1900","203","386875","8587012500","3469500"
"078600","대주전자재료","KOSDAQ","우량기업부","75700","-900","-1.17","76600","78200","75200","127672","9771518400","1171880890100","15480593"
"012800","대창","KOSPI",,"1265","-30","-2.32","1280","1300","1250","303876","385723355","115292731235","91140499"
"015230","대창단조","KOSPI",,"7930","-240","-2.94","8080","8230","7820","666297","5309613500","226577783900","28572230"
"096350","대창솔루션","KOSDAQ","벤처기업부","325","-20","-5.80","347","347","324","2855382","951919698","53222327925","163761009"
"140520","대창스틸","KOSDAQ","중견기업부","3045","-70","-2.25","3140","3160","3030","46837","144031170","64277644935","21109243"
"131220","대한과학","KOSDAQ","벤처기업부","7370","-360","-4.66","7720","7720","7300","79388","592890300","54939591300","7454490"
"010170","대한광통신","KOSDAQ","중견기업부","3120","-160","-4.88","3280","3320","3110","1119035","3565781350","231843003600","74308655"
"060900","대한그린파워","KOSDAQ","중견기업부","712","1","0.14","728","742","687","4090768","2912365755","129780586048","182276104"
"054670","대한뉴팜","KOSDAQ","우량기업부","9060","-270","-2.89","9370","9370","9010","95363","871212600","130055575200","14354920"
"001070","대한방직","KOSPI",,"51300","-500","-0.97","51900","51900","50100","3614","184481700","271890000000","5300000"
"023910","대한약품","KOSDAQ","우량기업부","30450","-400","-1.30","30500","31000","30200","6360","194114350","182700000000","6000000"
"006650","대한유화","KOSPI",,"154500","-2000","-1.28","156000","157500","153000","32194","4989819500","1004250000000","6500000"
"001440","대한전선","KOSPI",,"1580","-5","-0.32","1585","1610","1570","4633390","7365420670","1966267354220","1244473009"
"084010","대한제강","KOSPI",,"11700","-300","-2.50","11900","12100","11650","75881","892315450","288366787800","24646734"
"001790","대한제당","KOSPI",,"2720","5","0.18","2715","2750","2680","150485","407690540","243974697600","89696580"
"001795","대한제당우","KOSPI",,"2435","-30","-1.22","2465","2470","2435","37779","92335105","15785520600","6482760"
"001130","대한제분","KOSPI",,"135000","-500","-0.37","135500","135500","133500","1494","201187500","228150000000","1690000"
"003490","대한항공","KOSPI",,"24450","-150","-0.61","24400","24900","24300","880920","21645813600","9002995161450","368220661"
"003495","대한항공우","KOSPI",,"30850","-350","-1.12","31200","31400","30700","2934","90984200","34267994900","1110794"
"005880","대한해운","KOSPI",,"2040","-100","-4.67","2125","2140","2030","1272972","2624186820","651122018400","319177460"
"003830","대한화섬","KOSPI",,"116500","-4500","-3.72","119000","120500","116000","1134","132947000","154712000000","1328000"
"016090","대현","KOSPI",,"2340","-15","-0.64","2360","2375","2240","208473","488902125","103620605400","44282310"
"069460","대호에이엘","KOSPI",,"1400","-50","-3.45","1450","1465","1375","672397","949063875","72804926600","52003519"
"021040","대호특수강","KOSDAQ","중견기업부","595","0","0.00","0","0","0","0","0","44862131300","75398540"
"021045","대호특수강우","KOSDAQ","중견기업부","1055","0","0.00","0","0","0","0","0","4475801630","4242466"
"067080","대화제약","KOSDAQ","우량기업부","10100","-250","-2.42","10250","10250","9940","204201","2053416390","188028165000","18616650"
"298540","더네이쳐홀딩스","KOSDAQ","우량기업부","32250","-650","-1.98","33250","33350","32250","84138","2757644100","469065156000","14544656"
"192080","더블유게임즈","KOSPI",,"48400","-400","-0.82","48900","48900","48300","19458","943947350","889325896800","18374502"
"393890","더블유씨피","KOSDAQ","기술성장기업부","43250","-650","-1.48","44750","44850","43200","87233","3823790650","1457374403500","33696518"
"299170","더블유에스아이","KOSDAQ","중견기업부","1865","-70","-3.62","1935","1945","1815","145759","272138070","56002150995","30027963"
"012510","더존비즈온","KOSPI",,"38100","-850","-2.18","38650","38900","37800","78492","2999734700","1157584070400","30382784"
"224060","더코디","KOSDAQ","중견기업부","6690","-360","-5.11","7050","7050","6580","42064","284632960","20308304490","3035621"
"302920","더콘텐츠온","KONEX","일반기업부","5800","-80","-1.36","5600","6000","5400","67","382550","26403682200","4552359"
"213420","덕산네오룩스","KOSDAQ GLOBAL","우량기업부","39400","-450","-1.13","39600","40500","39000","54896","2180332150","978348452600","24831179"
"317330","덕산테코피아","KOSDAQ","우량기업부","14750","-450","-2.96","15050","15150","14750","63714","950596600","271067063000","18377428"
"077360","덕산하이메탈","KOSDAQ","우량기업부","4715","-150","-3.08","4870","4870","4695","140818","671490615","214235464430","45437002"
"004830","덕성","KOSPI",,"5050","-140","-2.70","5200","5200","5050","72993","372982180","79184000000","15680000"
"004835","덕성우","KOSPI",,"5960","-210","-3.40","6170","6220","5930","17115","102934300","8296320000","1392000"
"090410","덕신하우징","KOSDAQ","중견기업부","1965","-55","-2.72","2010","2015","1940","512544","1012050650","90555246675","46084095"
"024900","덕양산업","KOSPI",,"2480","-55","-2.17","2500","2520","2480","24192","60351030","80761150400","32564980"
"263600","덕우전자","KOSDAQ","우량기업부","7020","-160","-2.23","7140","7200","7000","131391","929563050","111830776200","15930310"
"194480","데브시스터즈","KOSDAQ","우량기업부","46350","-1050","-2.22","46850","47500","46200","37154","1736996800","549331903350","11851821"
"348840","데이드림엔터","KONEX","일반기업부","12500","0","0.00","0","0","0","0","0","10531250000","842500"
"263800","데이타솔루션","KOSDAQ","중견기업부","5040","-120","-2.33","5110","5180","5040","100149","511509190","81666043200","16203580"
"199150","데이터스트림즈","KONEX","일반기업부","9000","-70","-0.77","9000","9000","9000","83","747000","38417517000","4268613"
"206560","덱스터","KOSDAQ","기술성장기업부","12550","-1100","-8.06","13450","13500","12450","630732","8119429100","318899716800","25410336"
"261200","덴티스","KOSDAQ","벤처기업부","7730","-120","-1.53","7850","7920","7690","19401","150485860","114078489700","14757890"
"145720","덴티움","KOSPI",,"87900","-3000","-3.30","90200","91500","87900","44950","4001963000","972950157000","11068830"
"227420","도부마스크","KONEX","일반기업부","899","-1","-0.11","900","1000","767","5815","4637059","15490854194","17231206"
"067990","도이치모터스","KOSDAQ","우량기업부","6340","-200","-3.06","6500","6560","6260","325127","2075926280","202183531980","31890147"
"002150","도화엔지니어링","KOSPI",,"8570","-240","-2.72","8800","8900","8520","167162","1453800810","288980400000","33720000"
"006620","동구바이오제약","KOSDAQ","우량기업부","6220","-110","-1.74","6290","6390","6210","112286","704815090","177052250240","28464992"
"100130","동국S&C","KOSDAQ","우량기업부","5040","-40","-0.79","5130","5210","5020","398989","2042646000","288000720000","57143000"
"005160","동국산업","KOSDAQ","우량기업부","3880","-175","-4.32","4020","4060","3850","493048","1938394555","210468590160","54244482"
"075970","동국알앤에스","KOSDAQ","중견기업부","3580","-115","-3.11","3680","3685","3500","151033","540162560","65872000000","18400000"
"001230","동국제강","KOSPI",,"12000","100","0.84","11900","12100","11800","287627","3435487550","1145192844000","95432737"
"086450","동국제약","KOSDAQ GLOBAL","우량기업부","16650","-550","-3.20","17000","17050","16650","50923","857167450","740259000000","44460000"
"023450","동남합성","KOSPI",,"54900","100","0.18","54800","55200","54800","1058","57986000","198189000000","3610000"
"004140","동방","KOSPI",,"2875","225","8.49","2735","3135","2730","23041566","69224310680","137918827250","47971766"
"099410","동방선기","KOSDAQ","중견기업부","2705","-20","-0.73","2700","2770","2700","54485","148803055","36628410410","13541002"
"007590","동방아그로","KOSPI",,"6600","0","0.00","6610","6610","6560","9550","62837090","89876008200","13617577"
"005960","동부건설","KOSPI",,"7990","-30","-0.37","8020","8110","7920","142061","1134513150","182769827780","22874822"
"005965","동부건설우","KOSPI",,"27900","-2150","-7.15","28650","29650","27900","6114","174611950","6297922800","225732"
"026960","동서","KOSPI",,"20500","-100","-0.49","20500","20650","20350","53655","1097907200","2043850000000","99700000"
"002210","동성제약","KOSPI",,"6800","-70","-1.02","6840","6870","6670","33578","226700180","177486596000","26100970"
"102260","동성케미컬","KOSPI",,"4855","5","0.10","4830","4855","4790","46767","226030355","241243629440","49689728"
"033500","동성화인텍","KOSDAQ","우량기업부","10750","-250","-2.27","10900","11000","10700","178171","1928731850","319963559000","29764052"
"025950","동신건설","KOSDAQ","중견기업부","13900","-450","-3.14","14100","14300","13900","15426","216356200","116760000000","8400000"
"000640","동아쏘시오홀딩스","KOSPI",,"101500","0","0.00","100500","102000","100000","3841","386776000","644414669500","6348913"
"170900","동아에스티","KOSPI",,"60900","-100","-0.16","61000","61700","60000","4831","294132200","514394164200","8446538"
"088130","동아엘텍","KOSDAQ","우량기업부","6570","-110","-1.65","6590","6740","6510","32016","210976520","70055502660","10662938"
"028100","동아지질","KOSPI",,"13000","-250","-1.89","13200","13200","12800","20497","267143200","182684398000","14052646"
"282690","동아타이어","KOSPI",,"12400","50","0.40","12350","12400","12250","24671","304170100","170289386000","13733015"
"041930","동아화성","KOSDAQ","우량기업부","9490","-190","-1.96","9600","9670","9350","84060","796880260","149942000000","15800000"
"001520","동양","KOSPI",,"1035","-15","-1.43","1045","1055","1025","251857","260047580","247038005205","238684063"
"001527","동양2우B","KOSPI",,"13000","-450","-3.35","13300","13300","12700","953","12341100","4011397000","308569"
"084670","동양고속","KOSPI",,"14550","-200","-1.36","14750","14750","14500","1827","26580200","42130528950","2895569"
"082640","동양생명","KOSPI",,"5630","-40","-0.71","5610","5660","5600","76901","432556420","908448833550","161358585"
"060380","동양에스텍","KOSDAQ","우량기업부","2040","-10","-0.49","2050","2065","2020","57730","117674325","40188000000","19700000"
"001525","동양우","KOSPI",,"6510","-390","-5.65","6760","6760","6430","1471","9578610","4021428810","617731"
"079960","동양이엔피","KOSDAQ","우량기업부","14500","-200","-1.36","14550","14800","14400","24858","361772050","113970000000","7860000"
"008970","동양철관","KOSPI",,"990","-20","-1.98","1010","1010","988","716530","714034155","117696437100","118885290"
"228340","동양파일","KOSDAQ","중견기업부","3380","-55","-1.60","3465","3465","3320","118908","398808475","67600000000","20000000"
"092780","동양피스톤","KOSPI",,"5160","-80","-1.53","5240","5240","5040","34960","178519980","67949253600","13168460"
"088910","동우팜투테이블","KOSDAQ","중견기업부","2705","-35","-1.28","2720","2730","2670","65403","176364830","69874921620","25831764"
"094170","동운아나텍","KOSDAQ","벤처기업부","10400","150","1.46","10300","10600","10150","215608","2239442350","188357353600","18111284"
"049770","동원F&B","KOSPI",,"146500","-1000","-0.68","147500","147500","144500","2503","363717000","565361666000","3859124"
"013120","동원개발","KOSDAQ","우량기업부","3460","-30","-0.86","3470","3525","3405","70959","246897520","314196026000","90808100"
"018500","동원금속","KOSPI",,"1050","-5","-0.47","1055","1070","1035","247717","260599900","49092679650","46754933"
"006040","동원산업","KOSPI",,"50500","1000","2.02","50200","51400","49600","30881","1557472900","2524124582500","49982665"
"030720","동원수산","KOSPI",,"8930","-190","-2.08","9120","9150","8860","27598","248650090","41558478650","4653805"
"014820","동원시스템즈","KOSPI",,"45000","-400","-0.88","45000","45850","44400","24782","1124081850","1304607690000","28991282"
"014825","동원시스템즈우","KOSPI",,"29450","-150","-0.51","29200","29450","29200","23","674250","7778068950","264111"
"163560","동일고무벨트","KOSPI",,"6590","-80","-1.20","6650","6750","6550","27233","180426610","91601000000","13900000"
"109860","동일금속","KOSDAQ","우량기업부","17150","-500","-2.83","17450","17600","15850","167612","2774991750","156065000000","9100000"
"032960","동일기연","KOSDAQ","중견기업부","12400","-100","-0.80","12600","12600","12400","7090","88584200","45075860000","3635150"
"004890","동일산업","KOSPI",,"176500","-7000","-3.81","183500","183500","170500","6088","1061353000","428050447500","2425215"
"002690","동일제강","KOSPI",,"2195","-65","-2.88","2240","2240","2165","78232","171157700","44559290200","20300360"
"023790","동일철강","KOSDAQ","중견기업부","2005","-45","-2.20","2020","2030","1990","21419","42934155","32048814230","15984446"
"005290","동진쎄미켐","KOSDAQ","우량기업부","30200","-1000","-3.21","31000","31200","30100","311973","9532020950","1552717718800","51414494"
"025900","동화기업","KOSDAQ","우량기업부","55100","-1500","-2.65","56200","56700","55100","36065","2011173900","1113215770300","20203553"
"000020","동화약품","KOSPI",,"9400","-260","-2.69","9570","9630","9350","137048","1298466310","262555818000","27931470"
"000150","두산","KOSPI",,"85800","1000","1.18","84900","87200","84100","120479","10346791200","1417745043000","16523835"
"000157","두산2우B","KOSPI",,"80800","-3200","-3.81","83500","84500","80800","990","82082800","72157470400","893038"
"241560","두산밥캣","KOSPI",,"36000","-100","-0.28","36100","36350","35600","262397","9450691900","3608969976000","100249166"
"034020","두산에너빌리티","KOSPI",,"15500","-50","-0.32","15550","15800","15300","2608459","40580024050","9893774511500","638308033"
"000155","두산우","KOSPI",,"50400","-100","-0.20","51100","51100","49800","3161","158552250","201421684800","3996462"
"131970","두산테스나","KOSDAQ","우량기업부","29200","150","0.52","28850","30100","28850","119142","3511766750","430979648400","14759577"
"336260","두산퓨얼셀","KOSPI",,"32600","-1350","-3.98","33750","33850","32500","323997","10689861850","2135095467600","65493726"
"33626K","두산퓨얼셀1우","KOSPI",,"9880","-320","-3.14","10000","10200","9840","7255","72239980","132038296000","13364200"
"33626L","두산퓨얼셀2우B","KOSPI",,"12650","-450","-3.44","13000","13000","12550","6375","81011200","37776695000","2986300"
"016740","두올","KOSPI",,"2525","-80","-3.07","2595","2595","2525","63083","160687920","83493367000","33066680"
"073190","듀오백","KOSDAQ","중견기업부","2165","30","1.41","2125","2180","2080","38173","81084690","25910806600","11968040"
"176750","듀켐바이오","KONEX","일반기업부","5350","-90","-1.65","5400","5400","5270","503","2653140","144584927000","27025220"
"030350","드래곤플라이","KOSDAQ","중견기업부","917","-30","-3.17","954","955","916","616209","571761074","37905434784","41336352"
"203650","드림시큐리티","KOSDAQ","벤처기업부","2760","-90","-3.16","2815","2845","2730","128827","357797375","139671881040","50605754"
"223250","드림씨아이에스","KOSDAQ","중견기업부","10100","-200","-1.94","10100","10300","9990","9545","96138340","59849772000","5925720"
"060570","드림어스컴퍼니","KOSDAQ","중견기업부","2900","-75","-2.52","2975","2975","2900","17730","52141780","164893556300","56859847"
"192650","드림텍","KOSPI",,"9720","-330","-3.28","10050","10100","9640","260211","2548288860","655084230840","67395497"
"217620","디딤이앤에프","KOSDAQ","중견기업부","1170","5","0.43","1160","1180","1115","214870","244677295","53841014370","46017961"
"016670","디모아","KOSDAQ","중견기업부","495","-22","-4.26","515","515","490","715290","356633231","50419721880","101858024"
"187870","디바이스이엔지","KOSDAQ","우량기업부","14050","-450","-3.10","14400","14700","14050","9951","142843550","98864356450","7036609"
"066670","디스플레이텍","KOSDAQ","우량기업부","4710","-60","-1.26","4770","4820","4685","58337","275782630","88038933780","18691918"
"024090","디씨엠","KOSPI",,"14150","-350","-2.41","14600","14600","13950","28151","397981250","161310000000","11400000"
"003160","디아이","KOSPI",,"5010","-240","-4.57","5200","5240","4950","94175","479954005","157798892850","31496785"
"092200","디아이씨","KOSPI",,"3700","-95","-2.50","3735","3790","3660","138375","515125820","143887705300","38888569"
"110990","디아이티","KOSDAQ","우량기업부","5650","-180","-3.09","5830","6410","5560","557759","3377520400","106785000000","18900000"
"078590","디아크","KOSDAQ","관리종목(소속부없음)","2380","0","0.00","0","0","0","0","0","316556560040","133006958"
"263690","디알젬","KOSDAQ","우량기업부","10500","0","0.00","10500","10650","10450","7375","77476200","118918905000","11325610"
"214680","디알텍","KOSDAQ","벤처기업부","1395","-15","-1.06","1410","1415","1385","272757","380019750","80937837225","58019955"
"377190","디앤디플랫폼리츠","KOSPI",,"3455","-20","-0.58","3505","3510","3415","106906","370348670","222502000000","64400000"
"263720","디앤씨미디어","KOSDAQ","중견기업부","23500","100","0.43","23250","25400","22850","782034","18799376100","288465108500","12275111"
"376300","디어유","KOSDAQ","기술성장기업부","30200","-1800","-5.63","31700","31800","30000","181505","5584215300","712255856200","23584631"
"141020","디에스앤엘","KOSDAQ","투자주의환기종목(소속부없음)","1335","0","0.00","0","0","0","0","0","43790846220","32802132"
"109740","디에스케이","KOSDAQ","벤처기업부","5010","-50","-0.99","5060","5270","4970","29484","148796645","135394799100","27024910"
"196490","디에이테크놀로지","KOSDAQ","투자주의환기종목(소속부없음)","3860","95","2.52","3765","3945","3725","303776","1169697015","103431008280","26795598"
"066900","디에이피","KOSDAQ","우량기업부","2855","-30","-1.04","2860","2870","2815","15569","44241105","64935556065","22744503"
"180400","디엑스앤브이엑스","KOSDAQ","관리종목(소속부없음)","7740","0","0.00","0","0","0","0","0","222082929900","28692885"
"127120","디엔에이링크","KOSDAQ","기술성장기업부","3835","20","0.52","3810","3885","3745","31010","118555430","65554308820","17093692"
"092070","디엔에프","KOSDAQ","우량기업부","13900","-300","-2.11","14150","14200","13600","59846","828489850","160848826200","11571858"
"039840","디오","KOSDAQ","우량기업부","18300","-200","-1.08","18400","18450","18150","37120","678098100","290636116500","15881755"
