종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2435","-20","-0.81","2430","2465","2415","107407","262331200","118186723270","48536642"
"095570","AJ네트웍스","KOSPI",,"5850","-50","-0.85","5900","6010","5770","178578","1045394800","273910425750","46822295"
"006840","AK홀딩스","KOSPI",,"17250","250","1.47","16750","17400","16750","11783","201571400","228520427250","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","13300","0","0.00","13300","13300","13000","43490","574026450","271243139300","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","18900","-150","-0.79","18950","18950","18600","58861","1104630950","288818856900","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","10650","-300","-2.74","10850","10950","10650","108656","1166292600","160626537600","15082304"
"027410","BGF","KOSPI",,"4080","-40","-0.97","4110","4130","4070","110820","453369270","390524507280","95716791"
"282330","BGF리테일","KOSPI",,"211500","2500","1.20","210000","214000","207000","30860","6521821000","3655546119000","17283906"
"138930","BNK금융지주","KOSPI",,"7260","-80","-1.09","7340","7340","7250","829955","6041627080","2366289885960","325935246"
"001460","BYC","KOSPI",,"359000","-4000","-1.10","365500","365500","359000","205","73984500","224236785000","624615"
"001465","BYC우","KOSPI",,"141500","500","0.35","141000","141500","141000","9","1270500","30476977500","215385"
"013720","CBI","KOSDAQ","벤처기업부","513","-41","-7.40","549","570","510","26279646","14170707399","138684771918","270340686"
"001040","CJ","KOSPI",,"80000","-700","-0.87","80900","81000","79700","38489","3086674200","2334159840000","29176998"
"079160","CJ CGV","KOSPI",,"18350","-900","-4.68","19250","19300","18200","493112","9151486950","875536522700","47713162"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","95500","-3100","-3.14","98300","98300","94000","180222","17295932300","2094234207000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","27750","-550","-1.94","28500","28500","27700","4543","126941850","163133148000","5878672"
"00104K","CJ4우(전환)","KOSPI",,"71000","-300","-0.42","71300","71400","70500","1346","95591500","300082352000","4226512"
"000120","CJ대한통운","KOSPI",,"92400","1000","1.09","91000","93400","90500","77477","7182591400","2107860585600","22812344"
"011150","CJ씨푸드","KOSPI",,"2770","-5","-0.18","2775","2795","2745","45646","126721725","99528241210","35930773"
"011155","CJ씨푸드1우","KOSPI",,"25000","100","0.40","25150","25450","25000","25","629650","5000000000","200000"
"001045","CJ우","KOSPI",,"50300","-100","-0.20","50500","50700","50000","616","31030900","113689216900","2260223"
"097950","CJ제일제당","KOSPI",,"378000","0","0.00","378000","380000","375500","26392","9967834500","5690482308000","15054186"
"097955","CJ제일제당 우","KOSPI",,"170000","-500","-0.29","171500","171500","169000","1284","217773500","225663610000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","32450","-400","-1.22","32700","32800","32200","24504","795788100","385232965700","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2485","155","6.65","2330","2545","2300","6216494","15113844145","345147226340","138892244"
"023460","CNH","KOSDAQ","중견기업부","2680","15","0.56","2685","2685","2640","21080","56147910","99696000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","3100","0","0.00","0","0","0","0","0","110511763600","35648956"
"065770","CS","KOSDAQ","벤처기업부","1640","65","4.13","1575","1640","1565","142104","228700070","31834253200","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1060","0","0.00","0","0","0","0","0","41818264580","39451193"
"000590","CS홀딩스","KOSPI",,"60800","-400","-0.65","61200","61600","60500","1221","74376500","70192505600","1154482"
"012030","DB","KOSPI",,"830","0","0.00","826","833","825","138280","114573621","166974364390","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2000","0","0.00","2010","2015","1990","2442","4882210","11680000000","5840000"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2010","5","0.25","2000","2010","2000","4601","9220260","12160500000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2000","0","0.00","2015","2015","1990","1014","2020520","9680000000","4840000"
"016610","DB금융투자","KOSPI",,"4670","-15","-0.32","4685","4695","4640","28567","133195560","198224636630","42446389"
"005830","DB손해보험","KOSPI",,"63900","500","0.79","64200","64300","63100","100557","6432948436","4524120000000","70800000"
"000990","DB하이텍","KOSPI",,"41250","-900","-2.14","41650","41800","41200","216883","8969095050","1831441755000","44398588"
"000995","DB하이텍1우","KOSPI",,"81000","-1000","-1.22","80600","82100","80000","328","26383800","9097596000","112316"
