날짜,시간,index,시가,고가,저가,종가,전일대비,거래량,거래대금,누적체결매도수량,누적체결매수수량,상장주식수,시가총액,외국인주문한도수량,외국인주문가능수량,외국인현보유수량,외국인현보유비율,수정주가일자,수정주가비율,기관순매수량,기관누적순매수량,등락주선,등락비율,예탁금,주식회전율,거래성립률
20221129,1346,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1345,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1344,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1343,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1342,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1341,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1340,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1339,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1338,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1337,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1336,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1335,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1334,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1333,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1332,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1331,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1330,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1329,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1328,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1327,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1326,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1325,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1324,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1323,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1322,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1321,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1320,,,,,,,,,,,,,,,,,,,,,,,,,
