"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","2.423","2.405","2.531","2.391","1.34%"
"2022년 12월 15일","2.391","2.340","2.395","2.323","3.15%"
"2022년 12월 14일","2.318","2.344","2.372","2.295","-0.13%"
"2022년 12월 13일","2.321","2.368","2.386","2.305","-0.60%"
"2022년 12월 12일","2.335","2.305","2.438","2.297","2.46%"
"2022년 12월 09일","2.279","2.200","2.318","2.175","4.35%"
"2022년 12월 08일","2.184","2.188","2.204","2.165","0.74%"
"2022년 12월 07일","2.168","2.161","2.182","2.118","0.05%"
"2022년 12월 06일","2.167","2.183","2.211","2.145","-0.69%"
"2022년 12월 05일","2.182","2.268","2.293","2.140","3.17%"
"2022년 12월 02일","2.115","2.288","2.296","2.110","-1.81%"
"2022년 12월 01일","2.154","2.216","2.228","2.149","-1.78%"
"2022년 11월 30일","2.193","2.261","2.284","2.124","0.69%"
"2022년 11월 29일","2.178","2.261","2.261","2.124","-6.32%"
"2022년 11월 28일","2.325","2.332","2.332","2.319","0.56%"
"2022년 11월 25일","2.312","2.363","2.375","2.275","2.62%"
"2022년 11월 24일","2.253","2.254","2.276","2.195","-0.22%"
"2022년 11월 23일","2.258","2.265","2.293","2.220","0.44%"
"2022년 11월 22일","2.248","2.264","2.279","2.210","7.61%"
"2022년 11월 21일","2.089","2.183","2.187","1.987","-2.38%"
