"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.895","2.853","2.911","2.850","1.26%"
"2022년 12월 16일","2.859","2.821","2.905","2.802","3.47%"
"2022년 12월 15일","2.763","2.712","2.812","2.660","3.25%"
"2022년 12월 14일","2.676","2.568","2.694","2.558","3.48%"
"2022년 12월 13일","2.586","2.595","2.614","2.487","0.31%"
"2022년 12월 12일","2.578","2.606","2.606","2.516","-0.31%"
"2022년 12월 09일","2.586","2.510","2.606","2.509","3.15%"
"2022년 12월 08일","2.507","2.490","2.540","2.468","0.80%"
"2022년 12월 07일","2.487","2.444","2.542","2.441","0.04%"
"2022년 12월 06일","2.486","2.549","2.551","2.470","-2.32%"
"2022년 12월 05일","2.545","2.557","2.569","2.494","0.35%"
"2022년 12월 02일","2.536","2.539","2.576","2.506","-0.28%"
"2022년 12월 01일","2.543","2.569","2.620","2.523","-3.53%"
"2022년 11월 30일","2.636","2.654","2.691","2.624","-0.23%"
"2022년 11월 29일","2.642","2.662","2.692","2.621","-2.69%"
"2022년 11월 28일","2.715","2.651","2.745","2.638","1.15%"
"2022년 11월 25일","2.684","2.583","2.712","2.575","4.23%"
"2022년 11월 24일","2.575","2.613","2.627","2.558","-3.12%"
"2022년 11월 23일","2.658","2.785","2.811","2.628","-3.87%"
"2022년 11월 22일","2.765","2.795","2.823","2.756","-0.54%"
"2022년 11월 21일","2.780","2.798","2.849","2.745","-0.82%"
"2022년 11월 19일","2.803","2.803","2.803","2.803","-0.32%"
