"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","0.780","0.800","0.800","0.770","1.30%"
"2022년 12월 19일","0.770","0.800","0.850","0.750","-287.80%"
"2022년 12월 16일","-0.410","-0.340","-0.340","-0.410","10.81%"
"2022년 12월 15일","-0.370","-0.370","-0.370","-0.370","5.71%"
"2022년 12월 14일","-0.350","-0.060","-0.060","-0.350","-164.81%"
"2022년 12월 13일","0.540","0.530","0.570","0.330","5.88%"
"2022년 12월 12일","0.510","0.500","0.550","0.180","10.87%"
"2022년 12월 09일","0.460","0.170","0.500","0.170","253.85%"
"2022년 12월 08일","0.130","0.450","0.590","0.010","-68.29%"
"2022년 12월 07일","0.410","0.450","0.450","0.410","0.00%"
"2022년 12월 06일","0.410","0.330","0.410","0.010","32.26%"
"2022년 12월 05일","0.310","0.010","0.410","-0.060","-1,650.00%"
"2022년 12월 02일","-0.020","0.070","0.180","-0.160","-128.57%"
"2022년 12월 01일","0.070","-0.090","0.070","-0.300","-158.33%"
"2022년 11월 30일","-0.120","-0.030","0.120","-0.230","-233.33%"
"2022년 11월 29일","0.090","0.370","0.500","-0.140","-74.29%"
"2022년 11월 28일","0.350","0.200","0.400","0.160","0.00%"
"2022년 11월 27일","0.350","0.350","0.350","0.350","0.00%"
"2022년 11월 25일","0.350","0.390","0.390","0.170","2.94%"
"2022년 11월 24일","0.340","0.380","0.400","0.210","3.03%"
"2022년 11월 23일","0.330","0.380","0.380","0.100","-2.94%"
"2022년 11월 22일","0.340","0.360","0.380","0.320","6.25%"
"2022년 11월 21일","0.320","0.350","0.360","0.320","0.00%"
"2022년 11월 20일","0.320","0.320","0.320","0.320","0.00%"
