"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","0.421","0.292","0.462","0.292","42.23%"
"2022년 12월 19일","0.296","0.289","0.298","0.285","2.42%"
"2022년 12월 18일","0.289","0.278","0.289","0.278","0.00%"
"2022년 12월 16일","0.289","0.291","0.297","0.285","1.05%"
"2022년 12월 15일","0.286","0.280","0.291","0.280","5.54%"
"2022년 12월 14일","0.271","0.270","0.276","0.268","-3.56%"
"2022년 12월 13일","0.281","0.272","0.281","0.271","3.69%"
"2022년 12월 12일","0.271","0.265","0.278","0.264","4.23%"
"2022년 12월 11일","0.260","0.253","0.260","0.253","0.39%"
"2022년 12월 09일","0.259","0.271","0.277","0.258","-4.07%"
"2022년 12월 08일","0.270","0.258","0.280","0.246","0.00%"
"2022년 12월 07일","0.270","0.283","0.285","0.268","-6.90%"
"2022년 12월 06일","0.290","0.290","0.294","0.280","3.94%"
"2022년 12월 05일","0.279","0.262","0.281","0.262","8.56%"
"2022년 12월 04일","0.257","0.254","0.257","0.254","-4.81%"
"2022년 12월 02일","0.270","0.254","0.272","0.245","3.45%"
"2022년 12월 01일","0.261","0.268","0.270","0.251","-5.43%"
"2022년 11월 30일","0.276","0.267","0.281","0.264","1.85%"
"2022년 11월 29일","0.271","0.256","0.275","0.255","7.54%"
"2022년 11월 28일","0.252","0.258","0.259","0.251","0.00%"
"2022년 11월 27일","0.252","0.251","0.252","0.251","-1.37%"
"2022년 11월 25일","0.255","0.219","0.259","0.218","19.16%"
"2022년 11월 24일","0.214","0.215","0.218","0.205","1.90%"
"2022년 11월 23일","0.210","0.214","0.214","0.210","-5.41%"
"2022년 11월 22일","0.222","0.220","0.224","0.216","5.21%"
"2022년 11월 21일","0.211","0.218","0.220","0.211","-0.94%"
"2022년 11월 20일","0.213","0.214","0.214","0.213","1.91%"
