"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","10.160","10.210","10.210","10.100","-0.49%"
"2022년 12월 15일","10.210","1.730","10.270","1.730","13.32%"
"2022년 12월 14일","9.010","8.930","9.160","8.930","-3.01%"
"2022년 12월 13일","9.290","9.600","9.600","9.180","-3.23%"
"2022년 12월 12일","9.600","9.550","9.620","9.110","-3.23%"
"2022년 12월 09일","9.920","9.750","10.090","9.750","1.33%"
"2022년 12월 08일","9.790","10.180","10.220","9.640","-3.83%"
"2022년 12월 07일","10.180","10.290","10.330","10.180","-3.96%"
"2022년 12월 06일","10.600","10.580","10.600","10.530","0.19%"
"2022년 12월 05일","10.580","10.420","18.490","10.400","3.02%"
"2022년 12월 02일","10.270","10.350","10.350","10.270","-1.25%"
"2022년 12월 01일","10.400","10.530","10.640","10.290","-0.57%"
"2022년 11월 30일","10.460","10.400","10.490","10.260","0.97%"
"2022년 11월 29일","10.360","10.490","10.490","10.360","-1.24%"
"2022년 11월 28일","10.490","10.550","10.550","10.350","-0.85%"
"2022년 11월 25일","10.580","10.710","10.710","10.510","-0.38%"
"2022년 11월 24일","10.620","10.850","10.850","10.620","-2.12%"
"2022년 11월 23일","10.850","11.070","11.070","10.830","-1.99%"
"2022년 11월 22일","11.070","11.090","11.120","10.980","-0.18%"
"2022년 11월 21일","11.090","11.170","11.380","11.010","-8.50%"
