"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.731","3.731","3.731","3.731","0.51%"
"2022년 12월 18일","3.713","3.731","3.731","3.713","0.51%"
"2022년 12월 17일","3.694","3.694","3.694","3.694","0.48%"
"2022년 12월 16일","3.676","3.704","3.775","3.668","0.91%"
"2022년 12월 15일","3.643","3.714","3.716","3.590","-1.49%"
"2022년 12월 14일","3.698","3.678","3.776","3.667","-0.48%"
"2022년 12월 13일","3.716","3.608","3.716","3.592","2.94%"
"2022년 12월 12일","3.610","3.562","3.638","3.480","1.06%"
"2022년 12월 09일","3.572","3.531","3.590","3.516","1.59%"
"2022년 12월 08일","3.516","3.447","3.520","3.437","1.91%"
"2022년 12월 07일","3.450","3.420","3.510","3.419","0.12%"
"2022년 12월 06일","3.446","3.462","3.471","3.382","-0.12%"
"2022년 12월 05일","3.450","3.490","3.497","3.421","-1.26%"
"2022년 12월 02일","3.494","3.390","3.525","3.342","2.61%"
"2022년 12월 01일","3.405","3.335","3.437","3.335","-0.61%"
"2022년 11월 30일","3.426","3.386","3.447","3.325","2.06%"
"2022년 11월 29일","3.357","3.324","3.419","3.293","-0.21%"
"2022년 11월 28일","3.364","3.297","3.400","3.270","0.36%"
"2022년 11월 27일","3.352","3.355","3.355","3.352","0.09%"
"2022년 11월 26일","3.349","3.349","3.349","3.349","0.48%"
"2022년 11월 25일","3.333","3.325","3.362","3.278","1.83%"
"2022년 11월 24일","3.273","3.116","3.279","3.109","2.54%"
"2022년 11월 23일","3.192","3.337","3.343","3.157","-3.74%"
"2022년 11월 22일","3.316","3.321","3.372","3.293","-0.09%"
"2022년 11월 21일","3.319","3.403","3.444","3.264","-2.09%"
