"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","-0.145","-0.144","-0.140","-0.150","-4.29%"
"2022년 12월 18일","-0.152","-0.152","-0.152","-0.152","22.18%"
"2022년 12월 16일","-0.124","-0.140","-0.124","-0.162","-2.36%"
"2022년 12월 15일","-0.127","-0.161","-0.127","-0.166","-9.93%"
"2022년 12월 14일","-0.141","-0.144","-0.141","-0.165","-14.55%"
"2022년 12월 13일","-0.165","-0.120","-0.118","-0.165","16.20%"
"2022년 12월 12일","-0.142","-0.152","-0.142","-0.152","-3.07%"
"2022년 12월 11일","-0.147","-0.147","-0.147","-0.147","-1.01%"
"2022년 12월 09일","-0.148","-0.139","-0.139","-0.153","3.50%"
"2022년 12월 08일","-0.143","-0.131","-0.130","-0.143","4.38%"
"2022년 12월 07일","-0.137","-0.132","-0.118","-0.137","15.13%"
"2022년 12월 06일","-0.119","-0.123","-0.119","-0.133","7.21%"
"2022년 12월 05일","-0.111","-0.128","-0.111","-0.128","-13.95%"
"2022년 12월 04일","-0.129","-0.129","-0.129","-0.129","18.35%"
"2022년 12월 02일","-0.109","-0.128","-0.109","-0.128","-4.39%"
"2022년 12월 01일","-0.114","-0.129","-0.114","-0.130","1.79%"
"2022년 11월 30일","-0.112","-0.127","-0.112","-0.132","-11.11%"
"2022년 11월 29일","-0.126","-0.114","-0.110","-0.136","46.51%"
"2022년 11월 28일","-0.086","-0.125","-0.086","-0.129","-30.65%"
"2022년 11월 27일","-0.124","-0.124","-0.124","-0.124","31.91%"
"2022년 11월 25일","-0.094","-0.120","-0.094","-0.133","1.08%"
"2022년 11월 24일","-0.093","-0.119","-0.093","-0.121","-21.85%"
"2022년 11월 23일","-0.119","-0.119","-0.119","-0.119","27.96%"
"2022년 11월 22일","-0.093","-0.120","-0.093","-0.120","1.09%"
"2022년 11월 21일","-0.092","-0.157","-0.092","-0.160","-25.81%"
"2022년 11월 20일","-0.124","-0.124","-0.124","-0.124","4.20%"
