"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.594","3.560","3.595","3.558","0.77%"
"2022년 12월 18일","3.566","3.561","3.566","3.561","0.66%"
"2022년 12월 16일","3.543","3.510","3.595","3.505","1.28%"
"2022년 12월 15일","3.498","3.539","3.567","3.454","-1.06%"
"2022년 12월 14일","3.536","3.535","3.583","3.495","0.00%"
"2022년 12월 13일","3.536","3.574","3.579","3.451","-1.22%"
"2022년 12월 12일","3.579","3.561","3.599","3.489","0.50%"
"2022년 12월 11일","3.561","3.557","3.561","3.557","-0.18%"
"2022년 12월 09일","3.568","3.440","3.583","3.406","3.73%"
"2022년 12월 08일","3.440","3.440","3.478","3.414","0.18%"
"2022년 12월 07일","3.433","3.554","3.569","3.412","-3.16%"
"2022년 12월 06일","3.545","3.596","3.617","3.520","-1.22%"
"2022년 12월 05일","3.589","3.575","3.650","3.534","0.43%"
"2022년 12월 04일","3.574","3.577","3.577","3.574","0.73%"
"2022년 12월 02일","3.548","3.608","3.704","3.524","-1.56%"
"2022년 12월 01일","3.604","3.755","3.767","3.599","-3.77%"
"2022년 11월 30일","3.745","3.807","3.847","3.726","-1.48%"
"2022년 11월 29일","3.801","3.738","3.815","3.705","2.10%"
"2022년 11월 28일","3.723","3.755","3.771","3.685","-0.85%"
"2022년 11월 27일","3.755","3.757","3.757","3.755","0.11%"
"2022년 11월 25일","3.751","3.709","3.782","3.701","1.09%"
"2022년 11월 24일","3.711","3.707","3.711","3.707","-0.38%"
"2022년 11월 23일","3.725","3.829","3.845","3.723","-2.76%"
"2022년 11월 22일","3.831","3.915","3.915","3.819","-1.94%"
"2022년 11월 21일","3.907","3.922","3.930","3.860","-0.45%"
"2022년 11월 20일","3.924","3.927","3.927","3.924","-0.07%"
