"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","0.289","0.290","0.298","0.287","-0.69%"
"2022년 12월 18일","0.290","0.282","0.290","0.282","-0.17%"
"2022년 12월 16일","0.291","0.296","0.300","0.286","0.00%"
"2022년 12월 15일","0.291","0.288","0.296","0.287","3.56%"
"2022년 12월 14일","0.281","0.280","0.285","0.279","-1.06%"
"2022년 12월 13일","0.284","0.280","0.287","0.279","1.07%"
"2022년 12월 12일","0.281","0.278","0.284","0.276","3.50%"
"2022년 12월 11일","0.271","0.267","0.271","0.267","-0.18%"
"2022년 12월 09일","0.272","0.286","0.289","0.271","-2.86%"
"2022년 12월 08일","0.280","0.274","0.285","0.269","0.00%"
"2022년 12월 07일","0.280","0.292","0.295","0.277","-5.41%"
"2022년 12월 06일","0.296","0.289","0.298","0.286","4.23%"
"2022년 12월 05일","0.284","0.270","0.285","0.269","7.58%"
"2022년 12월 04일","0.264","0.262","0.264","0.262","-3.65%"
"2022년 12월 02일","0.274","0.264","0.274","0.261","2.62%"
"2022년 12월 01일","0.267","0.278","0.279","0.265","-4.64%"
"2022년 11월 30일","0.280","0.272","0.281","0.272","2.94%"
"2022년 11월 29일","0.272","0.261","0.279","0.261","3.82%"
"2022년 11월 28일","0.262","0.266","0.266","0.261","1.75%"
"2022년 11월 27일","0.257","0.258","0.258","0.257","-1.72%"
"2022년 11월 25일","0.262","0.228","0.263","0.227","18.55%"
"2022년 11월 24일","0.221","0.222","0.224","0.218","1.61%"
"2022년 11월 23일","0.218","0.219","0.219","0.218","-3.76%"
"2022년 11월 22일","0.226","0.224","0.228","0.221","2.73%"
"2022년 11월 21일","0.220","0.225","0.225","0.219","0.69%"
"2022년 11월 20일","0.219","0.216","0.219","0.216","0.00%"
