"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","3.584","3.458","3.601","3.435","5.72%"
"2022년 12월 19일","3.390","3.358","3.402","3.358","1.19%"
"2022년 12월 18일","3.350","3.350","3.350","3.350","0.00%"
"2022년 12월 17일","3.350","3.350","3.350","3.350","-0.36%"
"2022년 12월 16일","3.362","3.398","3.398","3.352","-1.09%"
"2022년 12월 15일","3.399","3.426","3.440","3.395","-0.23%"
"2022년 12월 14일","3.407","3.456","3.463","3.399","-1.79%"
"2022년 12월 13일","3.469","3.460","3.474","3.450","0.58%"
"2022년 12월 12일","3.449","3.507","3.511","3.440","0.12%"
"2022년 12월 11일","3.445","3.445","3.445","3.445","0.00%"
"2022년 12월 10일","3.445","3.445","3.445","3.445","0.00%"
"2022년 12월 09일","3.445","3.523","3.527","3.445","-2.32%"
"2022년 12월 08일","3.527","3.498","3.541","3.489","0.48%"
"2022년 12월 07일","3.510","3.527","3.558","3.498","0.20%"
"2022년 12월 06일","3.503","3.567","3.571","3.503","-1.71%"
"2022년 12월 05일","3.564","3.574","3.597","3.550","-0.31%"
"2022년 12월 04일","3.575","3.575","3.575","3.575","0.00%"
"2022년 12월 03일","3.575","3.575","3.575","3.575","-0.28%"
"2022년 12월 02일","3.585","3.619","3.625","3.576","-2.21%"
"2022년 12월 01일","3.666","3.619","3.681","3.617","0.33%"
"2022년 11월 30일","3.654","3.690","3.690","3.626","-0.49%"
"2022년 11월 29일","3.672","3.615","3.686","3.615","1.72%"
"2022년 11월 28일","3.610","3.629","3.640","3.594","-0.08%"
"2022년 11월 27일","3.613","3.613","3.613","3.613","0.00%"
"2022년 11월 26일","3.613","3.613","3.613","3.613","-0.28%"
"2022년 11월 25일","3.623","3.640","3.673","3.597","0.00%"
"2022년 11월 24일","3.623","3.700","3.706","3.619","-4.23%"
"2022년 11월 23일","3.783","3.760","3.820","3.751","0.34%"
"2022년 11월 22일","3.770","3.768","3.809","3.755","0.19%"
"2022년 11월 21일","3.763","3.836","3.840","3.752","-0.87%"
"2022년 11월 20일","3.796","3.796","3.796","3.796","0.00%"
