"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.070","3.033","3.070","3.033","0.18%"
"2022년 12월 16일","3.065","3.120","3.120","3.065","0.56%"
"2022년 12월 15일","3.048","3.120","3.120","3.048","-0.88%"
"2022년 12월 14일","3.075","3.120","3.120","3.075","2.23%"
"2022년 12월 13일","3.008","3.120","3.120","3.008","-2.05%"
"2022년 12월 12일","3.071","3.100","3.100","3.071","-0.94%"
"2022년 12월 09일","3.100","3.100","3.100","3.100","3.78%"
"2022년 12월 08일","2.987","2.987","2.987","2.987","-3.02%"
"2022년 12월 07일","3.080","3.096","3.096","3.080","0.33%"
"2022년 12월 06일","3.070","3.080","3.080","3.070","0.82%"
"2022년 12월 05일","3.045","3.060","3.060","3.045","2.80%"
"2022년 12월 02일","2.962","3.050","3.050","2.962","-2.89%"
"2022년 12월 01일","3.050","3.050","3.050","3.050","3.04%"
"2022년 11월 30일","2.960","3.100","3.100","2.960","0.65%"
"2022년 11월 29일","2.941","3.100","3.100","2.941","0.41%"
"2022년 11월 28일","2.929","3.050","3.050","2.929","0.69%"
"2022년 11월 25일","2.909","3.000","3.000","2.909","-1.39%"
"2022년 11월 24일","2.950","2.950","2.950","2.950","-1.01%"
"2022년 11월 23일","2.980","3.000","3.000","2.980","2.41%"
"2022년 11월 22일","2.910","3.000","3.000","2.910","-0.34%"
"2022년 11월 21일","2.920","3.000","3.000","2.920","-0.14%"
