"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","4.3771","4.3931","4.4191","4.3771","2.20%"
"2022년 12월 19일","4.2830","4.3380","4.3450","4.2710","-0.80%"
"2022년 12월 18일","4.3175","4.3123","4.3175","4.3123","0.59%"
"2022년 12월 16일","4.2920","4.3760","4.3810","4.2920","-0.81%"
"2022년 12월 15일","4.3270","4.3300","4.3870","4.3190","-0.41%"
"2022년 12월 14일","4.3450","4.4440","4.4440","4.3300","-0.30%"
"2022년 12월 13일","4.3580","4.4270","4.4340","4.3490","1.61%"
"2022년 12월 12일","4.2890","4.3310","4.3320","4.2600","-1.02%"
"2022년 12월 11일","4.3330","4.3305","4.3330","4.3305","0.91%"
"2022년 12월 09일","4.2940","4.3090","4.3180","4.2580","0.56%"
"2022년 12월 08일","4.2700","4.3430","4.3450","4.2650","-0.72%"
"2022년 12월 07일","4.3010","4.3710","4.3770","4.2940","-1.60%"
"2022년 12월 06일","4.3710","4.3410","4.4130","4.3410","1.37%"
"2022년 12월 05일","4.3120","4.3540","4.3560","4.2890","-1.02%"
"2022년 12월 04일","4.3563","4.3563","4.3563","4.3563","0.84%"
"2022년 12월 02일","4.3200","4.3470","4.3530","4.2890","0.09%"
"2022년 12월 01일","4.3160","4.4050","4.4050","4.3040","-1.10%"
"2022년 11월 30일","4.3640","4.4180","4.4210","4.3530","-0.46%"
"2022년 11월 29일","4.3840","4.3880","4.4290","4.3740","-0.41%"
"2022년 11월 28일","4.4020","4.4050","4.4100","4.2760","-0.20%"
"2022년 11월 27일","4.4107","4.3589","4.4107","4.3589","2.46%"
"2022년 11월 25일","4.3050","4.3350","4.3540","4.2810","-1.27%"
"2022년 11월 24일","4.3605","4.3242","4.3605","4.3242","1.08%"
"2022년 11월 23일","4.3140","4.3190","4.3710","4.3090","0.07%"
"2022년 11월 22일","4.3110","4.3150","4.3700","4.2940","2.25%"
"2022년 11월 21일","4.2160","4.2890","4.3120","4.2010","-1.76%"
"2022년 11월 20일","4.2916","4.2710","4.2916","4.2710","0.98%"
