"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","4.054","4.054","4.054","4.054","1.92%"
"2022년 12월 19일","3.977","3.931","3.977","3.931","1.07%"
"2022년 12월 16일","3.935","3.929","3.935","3.929","-1.63%"
"2022년 12월 15일","4.000","4.000","4.000","4.000","1.52%"
"2022년 12월 14일","3.940","4.031","4.031","3.940","-2.38%"
"2022년 12월 13일","4.036","4.000","4.036","4.000","1.82%"
"2022년 12월 12일","3.964","3.936","3.964","3.936","-2.75%"
"2022년 12월 09일","4.076","4.059","4.076","4.059","1.62%"
"2022년 12월 08일","4.011","4.011","4.011","4.011","0.20%"
"2022년 12월 07일","4.003","4.005","4.005","4.003","1.29%"
"2022년 12월 06일","3.952","4.034","4.034","3.952","1.54%"
"2022년 12월 05일","3.892","3.836","3.892","3.836","1.43%"
"2022년 12월 02일","3.837","3.837","3.837","3.837","0.39%"
"2022년 12월 01일","3.822","3.915","3.915","3.822","-2.77%"
"2022년 11월 30일","3.931","3.899","3.931","3.899","2.96%"
"2022년 11월 29일","3.818","3.828","3.828","3.818","0.26%"
"2022년 11월 28일","3.808","3.843","3.843","3.808","-0.55%"
"2022년 11월 25일","3.829","3.795","3.829","3.795","2.22%"
"2022년 11월 24일","3.746","3.761","3.761","3.746","-1.29%"
"2022년 11월 23일","3.795","3.795","3.795","3.795","-1.84%"
"2022년 11월 22일","3.866","3.866","3.866","3.866","2.38%"
"2022년 11월 21일","3.776","3.756","3.776","3.756","-0.26%"
