"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","9.505","10.426","10.426","9.505","1.88%"
"2022년 12월 18일","9.330","9.330","9.330","9.330","-5.83%"
"2022년 12월 17일","9.908","9.908","9.908","9.908","0.70%"
"2022년 12월 16일","9.839","9.927","9.839","9.839","-0.20%"
"2022년 12월 15일","9.859","9.882","9.859","9.859","-0.72%"
"2022년 12월 14일","9.930","9.930","9.930","9.930","1.00%"
"2022년 12월 13일","9.832","9.832","9.832","9.832","0.95%"
"2022년 12월 12일","9.739","9.739","9.739","9.739","1.48%"
"2022년 12월 11일","9.597","9.597","9.597","9.597","-4.50%"
"2022년 12월 09일","10.049","10.049","10.049","10.049","-0.30%"
"2022년 12월 08일","10.079","10.079","10.079","10.079","5.94%"
"2022년 12월 07일","9.514","9.514","9.514","9.514","-4.57%"
"2022년 12월 06일","9.970","9.970","10.246","9.970","-1.18%"
"2022년 12월 05일","10.089","10.089","10.215","10.089","8.59%"
"2022년 12월 04일","9.291","10.225","10.225","9.291","-9.13%"
"2022년 12월 03일","10.225","10.225","10.225","10.225","0.12%"
"2022년 12월 02일","10.213","10.213","10.213","10.213","-0.84%"
"2022년 12월 01일","10.300","10.300","10.300","10.300","0.64%"
"2022년 11월 30일","10.234","10.234","10.234","10.234","1.70%"
"2022년 11월 29일","10.063","10.329","10.063","10.063","-1.91%"
"2022년 11월 28일","10.259","9.833","10.259","10.259","3.04%"
"2022년 11월 27일","9.956","9.956","9.956","9.956","-3.96%"
"2022년 11월 26일","10.366","10.366","10.366","10.366","2.11%"
"2022년 11월 25일","10.152","10.443","10.152","10.152","-0.44%"
"2022년 11월 24일","10.197","10.484","10.197","10.197","-0.95%"
"2022년 11월 23일","10.295","10.876","10.295","10.295","-1.90%"
"2022년 11월 22일","10.494","10.625","10.494","10.494","-6.19%"
"2022년 11월 21일","11.187","11.834","11.187","11.187","-5.54%"
"2022년 11월 20일","11.843","11.843","11.843","11.843","-1.32%"
"2022년 11월 19일","12.001","12.001","12.001","12.001","3.55%"
