"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","-0.090","-0.092","-0.083","-0.092","-4.79%"
"2022년 12월 18일","-0.094","-0.095","-0.094","-0.095","-4.08%"
"2022년 12월 16일","-0.098","-0.094","-0.094","-0.100","5.38%"
"2022년 12월 15일","-0.093","-0.083","-0.083","-0.097","6.90%"
"2022년 12월 14일","-0.087","-0.094","-0.087","-0.099","-5.95%"
"2022년 12월 13일","-0.093","-0.079","-0.079","-0.099","22.52%"
"2022년 12월 12일","-0.075","-0.088","-0.075","-0.097","-15.64%"
"2022년 12월 11일","-0.090","-0.090","-0.090","-0.090","0.56%"
"2022년 12월 09일","-0.089","-0.084","-0.083","-0.091","13.38%"
"2022년 12월 08일","-0.079","-0.086","-0.077","-0.089","-6.55%"
"2022년 12월 07일","-0.084","-0.084","-0.082","-0.094","-5.62%"
"2022년 12월 06일","-0.089","-0.083","-0.075","-0.089","4.71%"
"2022년 12월 05일","-0.085","-0.086","-0.082","-0.097","-2.30%"
"2022년 12월 04일","-0.087","-0.087","-0.087","-0.087","-5.95%"
"2022년 12월 02일","-0.093","-0.088","-0.083","-0.093","4.52%"
"2022년 12월 01일","-0.089","-0.079","-0.079","-0.091","12.74%"
"2022년 11월 30일","-0.079","-0.090","-0.079","-0.094","-11.30%"
"2022년 11월 29일","-0.089","-0.091","-0.087","-0.101","-3.28%"
"2022년 11월 28일","-0.091","-0.093","-0.091","-0.097","-1.08%"
"2022년 11월 27일","-0.093","-0.093","-0.093","-0.093","-0.54%"
"2022년 11월 25일","-0.093","-0.092","-0.089","-0.094","2.20%"
"2022년 11월 24일","-0.091","-0.097","-0.091","-0.098","-3.19%"
"2022년 11월 23일","-0.094","-0.095","-0.094","-0.095","-2.08%"
"2022년 11월 22일","-0.096","-0.089","-0.089","-0.098","9.71%"
"2022년 11월 21일","-0.087","-0.090","-0.086","-0.095","-1.69%"
"2022년 11월 20일","-0.089","-0.089","-0.089","-0.089","9.88%"
