"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.365","2.400","2.400","2.355","-2.67%"
"2022년 12월 16일","2.430","2.458","2.458","2.410","-0.33%"
"2022년 12월 15일","2.438","2.499","2.499","2.412","-1.14%"
"2022년 12월 14일","2.466","2.520","2.520","2.430","-0.68%"
"2022년 12월 13일","2.483","2.445","2.483","2.440","1.35%"
"2022년 12월 12일","2.450","2.510","2.510","2.400","0.95%"
"2022년 12월 09일","2.427","2.483","2.483","2.403","0.37%"
"2022년 12월 08일","2.418","2.405","2.421","2.388","0.75%"
"2022년 12월 07일","2.400","2.396","2.400","2.365","1.27%"
"2022년 12월 06일","2.370","2.335","2.370","2.335","1.50%"
"2022년 12월 05일","2.335","2.350","2.380","2.324","0.17%"
"2022년 12월 02일","2.331","2.365","2.365","2.315","-0.81%"
"2022년 12월 01일","2.350","2.345","2.370","2.330","0.51%"
"2022년 11월 30일","2.338","2.376","2.376","2.325","-1.06%"
"2022년 11월 29일","2.363","2.318","2.363","2.303","2.52%"
"2022년 11월 28일","2.305","2.363","2.363","2.260","0.35%"
"2022년 11월 25일","2.297","2.279","2.297","2.245","1.73%"
"2022년 11월 24일","2.258","2.310","2.310","2.241","-1.18%"
"2022년 11월 23일","2.285","2.350","2.350","2.275","-1.51%"
"2022년 11월 22일","2.320","2.340","2.340","2.305","-0.13%"
"2022년 11월 21일","2.323","2.370","2.400","2.295","-1.36%"
