"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","9.855","9.845","9.855","9.810","0.46%"
"2022년 12월 19일","9.810","9.750","9.860","9.720","0.20%"
"2022년 12월 16일","9.790","9.810","9.810","9.760","0.00%"
"2022년 12월 15일","9.790","9.750","9.830","9.720","0.51%"
"2022년 12월 14일","9.740","9.720","9.740","9.660","0.21%"
"2022년 12월 13일","9.720","9.810","9.810","9.690","-0.31%"
"2022년 12월 12일","9.750","9.760","9.760","9.640","0.52%"
"2022년 12월 09일","9.700","9.700","9.740","9.630","0.21%"
"2022년 12월 08일","9.680","9.730","9.730","9.680","-0.51%"
"2022년 12월 07일","9.730","9.780","9.780","9.690","0.21%"
"2022년 12월 06일","9.710","9.820","9.820","9.560","-0.10%"
"2022년 12월 05일","9.720","10.400","10.400","9.690","0.62%"
"2022년 12월 02일","9.660","9.690","9.690","9.640","0.21%"
"2022년 12월 01일","9.640","9.670","9.700","9.610","0.42%"
"2022년 11월 30일","9.600","9.640","9.640","9.570","0.10%"
"2022년 11월 29일","9.590","9.590","9.630","9.570","-7.97%"
"2022년 11월 28일","10.420","11.240","11.240","10.390","0.00%"
"2022년 11월 25일","10.420","10.430","10.520","10.390","0.29%"
"2022년 11월 24일","10.390","11.220","11.220","10.390","-0.76%"
"2022년 11월 23일","10.470","10.570","10.730","10.440","-0.29%"
"2022년 11월 22일","10.500","10.460","10.500","10.360","0.67%"
"2022년 11월 21일","10.430","10.430","10.480","10.340","0.58%"
