"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","4.6657","4.7088","4.7353","4.6631","-0.01%"
"2022년 12월 18일","4.6663","4.6822","4.6822","4.6663","-0.40%"
"2022년 12월 16일","4.6850","4.7480","4.7660","4.6580","-0.26%"
"2022년 12월 15일","4.6970","4.7380","4.8070","4.6870","0.04%"
"2022년 12월 14일","4.6950","4.7830","4.8100","4.6790","-0.34%"
"2022년 12월 13일","4.7110","4.8390","4.8550","4.6880","-1.32%"
"2022년 12월 12일","4.7740","4.7750","4.8180","4.7320","-0.91%"
"2022년 12월 11일","4.8176","4.7406","4.8176","4.7406","1.85%"
"2022년 12월 09일","4.7300","4.7900","4.7900","4.7110","0.30%"
"2022년 12월 08일","4.7160","4.7320","4.7530","4.7000","0.15%"
"2022년 12월 07일","4.7090","4.7670","4.7800","4.7060","-0.61%"
"2022년 12월 06일","4.7380","4.7480","4.7910","4.7320","0.40%"
"2022년 12월 05일","4.7190","4.7030","4.7270","4.6580","0.27%"
"2022년 12월 04일","4.7061","4.7088","4.7088","4.7061","0.51%"
"2022년 12월 02일","4.6820","4.6980","4.7190","4.6400","0.47%"
"2022년 12월 01일","4.6600","4.7660","4.7660","4.6520","-1.08%"
"2022년 11월 30일","4.7110","4.7480","4.7720","4.7060","-0.44%"
"2022년 11월 29일","4.7320","4.7560","4.7560","4.7190","-0.06%"
"2022년 11월 28일","4.7350","4.7350","4.7400","4.6820","-0.45%"
"2022년 11월 27일","4.7565","4.7273","4.7565","4.7273","1.14%"
"2022년 11월 25일","4.7030","4.7450","4.7490","4.6800","-0.94%"
"2022년 11월 24일","4.7477","4.7026","4.7477","4.7026","1.01%"
"2022년 11월 23일","4.7000","4.7420","4.7690","4.6970","0.00%"
"2022년 11월 22일","4.7000","4.7290","4.7400","4.6790","1.36%"
"2022년 11월 21일","4.6370","4.6770","4.6870","4.6310","-0.85%"
"2022년 11월 20일","4.6769","4.6451","4.6769","4.6451","0.86%"
