"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","2.803","2.799","2.838","2.784","3.60%"
"2022년 12월 19일","2.705","2.679","2.738","2.662","1.37%"
"2022년 12월 16일","2.669","2.635","2.742","2.634","3.45%"
"2022년 12월 15일","2.580","2.473","2.624","2.391","6.44%"
"2022년 12월 14일","2.424","2.369","2.484","2.361","1.30%"
"2022년 12월 13일","2.393","2.439","2.460","2.309","-0.87%"
"2022년 12월 12일","2.414","2.403","2.424","2.341","0.92%"
"2022년 12월 09일","2.392","2.291","2.421","2.289","4.77%"
"2022년 12월 08일","2.283","2.247","2.312","2.225","1.87%"
"2022년 12월 07일","2.241","2.212","2.305","2.193","-0.36%"
"2022년 12월 06일","2.249","2.334","2.343","2.235","-3.27%"
"2022년 12월 05일","2.325","2.330","2.354","2.272","1.17%"
"2022년 12월 02일","2.298","2.266","2.339","2.217","1.41%"
"2022년 12월 01일","2.266","2.313","2.359","2.257","-5.86%"
"2022년 11월 30일","2.407","2.408","2.457","2.390","-5.36%"
"2022년 11월 29일","2.543","2.553","2.600","2.507","-3.18%"
"2022년 11월 28일","2.627","2.544","2.661","2.533","7.74%"
"2022년 11월 25일","2.438","2.299","2.459","2.299","6.18%"
"2022년 11월 24일","2.296","2.323","2.342","2.257","-3.65%"
"2022년 11월 23일","2.383","2.472","2.510","2.353","-2.69%"
"2022년 11월 22일","2.449","2.474","2.509","2.434","-0.45%"
"2022년 11월 21일","2.460","2.476","2.530","2.420","-0.79%"
