"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","3.9224","3.8349","3.9564","3.8304","2.46%"
"2022년 12월 19일","3.8282","3.7640","3.8540","3.7500","1.73%"
"2022년 12월 18일","3.7630","3.7421","3.7641","3.7421","0.56%"
"2022년 12월 16일","3.7421","3.7050","3.7950","3.7020","1.32%"
"2022년 12월 15일","3.6932","3.7440","3.7630","3.6520","-1.08%"
"2022년 12월 14일","3.7335","3.7440","3.7880","3.7020","-0.32%"
"2022년 12월 13일","3.7456","3.8160","3.8190","3.6620","-2.05%"
"2022년 12월 12일","3.8239","3.8150","3.8450","3.7420","0.20%"
"2022년 12월 11일","3.8161","3.8095","3.8161","3.8095","-0.20%"
"2022년 12월 09일","3.8239","3.6940","3.8360","3.6600","3.53%"
"2022년 12월 08일","3.6934","3.6720","3.7260","3.6500","0.80%"
"2022년 12월 07일","3.6642","3.7910","3.8050","3.6440","-3.11%"
"2022년 12월 06일","3.7820","3.8170","3.8350","3.7540","-0.81%"
"2022년 12월 05일","3.8130","3.7930","3.8780","3.7630","0.55%"
"2022년 12월 04일","3.7920","3.7964","3.7964","3.7920","0.64%"
"2022년 12월 02일","3.7678","3.8110","3.9110","3.7520","-1.04%"
"2022년 12월 01일","3.8075","3.9460","3.9600","3.8010","-3.24%"
"2022년 11월 30일","3.9350","4.0210","4.0610","3.9190","-2.13%"
"2022년 11월 29일","4.0205","3.9660","4.0320","3.9250","1.76%"
"2022년 11월 28일","3.9509","3.9780","3.9910","3.9020","-0.74%"
"2022년 11월 27일","3.9805","3.9919","3.9919","3.9805","0.12%"
"2022년 11월 25일","3.9759","3.9500","4.0140","3.9420","0.75%"
"2022년 11월 24일","3.9464","3.9464","3.9464","3.9464","-0.51%"
"2022년 11월 23일","3.9668","4.0640","4.0750","3.9630","-2.34%"
"2022년 11월 22일","4.0620","4.1430","4.1470","4.0450","-1.91%"
"2022년 11월 21일","4.1412","4.1460","4.1560","4.0840","-0.08%"
"2022년 11월 20일","4.1447","4.1623","4.1623","4.1447","-0.20%"
