"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","3.623","3.489","3.646","3.477","5.35%"
"2022년 12월 19일","3.439","3.443","3.478","3.434","-0.32%"
"2022년 12월 18일","3.450","3.450","3.450","3.450","0.00%"
"2022년 12월 17일","3.450","3.450","3.450","3.450","0.70%"
"2022년 12월 16일","3.426","3.457","3.457","3.410","-0.95%"
"2022년 12월 15일","3.459","3.499","3.500","3.458","-0.37%"
"2022년 12월 14일","3.472","3.569","3.569","3.472","-3.13%"
"2022년 12월 13일","3.584","3.588","3.602","3.574","0.17%"
"2022년 12월 12일","3.578","3.588","3.590","3.565","0.42%"
"2022년 12월 11일","3.563","3.563","3.563","3.563","0.00%"
"2022년 12월 10일","3.563","3.563","3.563","3.563","-0.67%"
"2022년 12월 09일","3.587","3.611","3.616","3.587","-0.69%"
"2022년 12월 08일","3.612","3.595","3.623","3.595","-0.11%"
"2022년 12월 07일","3.616","3.604","3.642","3.599","0.53%"
"2022년 12월 06일","3.597","3.612","3.626","3.584","-0.44%"
"2022년 12월 05일","3.613","3.621","3.645","3.613","-0.33%"
"2022년 12월 04일","3.625","3.625","3.625","3.625","0.00%"
"2022년 12월 03일","3.625","3.625","3.625","3.625","-0.30%"
"2022년 12월 02일","3.636","3.641","3.648","3.622","-1.41%"
"2022년 12월 01일","3.688","3.648","3.701","3.628","0.05%"
"2022년 11월 30일","3.686","3.710","3.714","3.670","-1.02%"
"2022년 11월 29일","3.724","3.679","3.730","3.665","1.33%"
"2022년 11월 28일","3.675","3.675","3.690","3.653","0.46%"
"2022년 11월 27일","3.658","3.658","3.658","3.658","0.00%"
"2022년 11월 26일","3.658","3.658","3.658","3.658","-0.41%"
"2022년 11월 25일","3.673","3.715","3.742","3.644","-1.18%"
"2022년 11월 24일","3.717","3.798","3.798","3.700","-4.05%"
"2022년 11월 23일","3.874","3.857","3.910","3.840","0.62%"
"2022년 11월 22일","3.850","3.855","3.866","3.834","-0.31%"
"2022년 11월 21일","3.862","3.877","3.877","3.830","0.47%"
"2022년 11월 20일","3.844","3.844","3.844","3.844","0.00%"
