"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","10.770","10.755","10.775","10.730","0.14%"
"2022년 12월 19일","10.755","10.590","10.755","10.590","1.37%"
"2022년 12월 16일","10.610","10.600","10.630","10.560","0.19%"
"2022년 12월 15일","10.590","10.640","10.640","10.550","0.00%"
"2022년 12월 14일","10.590","10.670","10.670","10.560","0.19%"
"2022년 12월 13일","10.570","10.590","10.600","10.540","0.00%"
"2022년 12월 12일","10.570","10.540","10.570","10.500","0.28%"
"2022년 12월 09일","10.540","10.540","10.550","10.490","0.09%"
"2022년 12월 08일","10.530","10.560","10.560","10.510","-0.09%"
"2022년 12월 07일","10.540","10.570","10.570","10.520","-0.19%"
"2022년 12월 06일","10.560","10.590","10.590","10.550","0.00%"
"2022년 12월 05일","10.560","10.600","10.600","10.520","0.00%"
"2022년 12월 02일","10.560","10.600","10.600","10.530","0.19%"
"2022년 12월 01일","10.540","10.480","10.580","10.480","0.67%"
"2022년 11월 30일","10.470","10.530","10.530","10.470","-0.38%"
"2022년 11월 29일","10.510","10.540","10.540","10.470","-0.10%"
"2022년 11월 28일","10.520","10.550","10.550","10.470","0.29%"
"2022년 11월 25일","10.490","10.460","10.530","10.450","0.19%"
"2022년 11월 24일","10.470","10.530","10.530","10.420","-0.57%"
"2022년 11월 23일","10.530","10.510","10.600","10.510","-0.19%"
"2022년 11월 22일","10.550","10.550","10.570","10.400","0.38%"
"2022년 11월 21일","10.510","10.420","10.510","10.380","1.35%"
