"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.408","2.438","2.438","2.405","-1.51%"
"2022년 12월 16일","2.445","2.453","2.503","2.373","2.77%"
"2022년 12월 15일","2.379","2.207","2.432","2.136","11.27%"
"2022년 12월 14일","2.138","2.141","2.164","2.105","0.00%"
"2022년 12월 13일","2.138","2.220","2.236","2.081","-2.82%"
"2022년 12월 12일","2.200","2.156","2.200","2.141","2.28%"
"2022년 12월 09일","2.151","2.083","2.168","2.070","4.11%"
"2022년 12월 08일","2.066","2.007","2.066","1.989","2.58%"
"2022년 12월 07일","2.014","2.038","2.042","1.992","-2.00%"
"2022년 12월 06일","2.055","2.142","2.168","2.035","-3.34%"
"2022년 12월 05일","2.126","2.121","2.157","2.083","0.57%"
"2022년 12월 02일","2.114","2.088","2.121","1.958","3.98%"
"2022년 12월 01일","2.033","2.071","2.115","1.996","-4.96%"
"2022년 11월 30일","2.139","2.141","2.173","2.036","2.00%"
"2022년 11월 29일","2.097","2.141","2.146","2.036","-3.85%"
"2022년 11월 28일","2.181","2.170","2.224","2.142","-0.50%"
"2022년 11월 25일","2.192","2.103","2.208","2.103","4.18%"
"2022년 11월 24일","2.104","2.152","2.152","2.036","-1.87%"
"2022년 11월 23일","2.144","2.139","2.189","2.112","1.90%"
"2022년 11월 22일","2.104","2.091","2.134","2.085","1.35%"
"2022년 11월 21일","2.076","2.091","2.128","2.041","-0.22%"
"2022년 11월 19일","2.080","2.080","2.080","2.080","-0.74%"
