"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","-0.003","-0.007","-0.003","-0.007","-70.00%"
"2022년 12월 18일","-0.010","-0.015","-0.010","-0.015","-16.67%"
"2022년 12월 16일","-0.012","-0.001","-0.007","-0.016","1,100.00%"
"2022년 12월 15일","-0.001","-0.006","0.006","-0.002","-50.00%"
"2022년 12월 14일","-0.002","-0.001","0.001","-0.005","-300.00%"
"2022년 12월 13일","0.001","0.010","0.012","0.001","-90.91%"
"2022년 12월 12일","0.011","0.010","0.016","0.007","0.00%"
"2022년 12월 11일","0.011","0.002","0.011","0.002","175.00%"
"2022년 12월 09일","0.004","0.011","0.017","0.002","-63.64%"
"2022년 12월 08일","0.011","0.003","0.013","0.000","120.00%"
"2022년 12월 07일","0.005","0.007","0.014","0.004","-28.57%"
"2022년 12월 06일","0.007","0.004","0.011","0.002","-333.33%"
"2022년 12월 05일","-0.003","-0.007","-0.001","-0.008","-57.14%"
"2022년 12월 04일","-0.007","-0.008","-0.007","-0.008","16.67%"
"2022년 12월 02일","-0.006","-0.010","-0.006","-0.011","50.00%"
"2022년 12월 01일","-0.004","-0.005","-0.003","-0.010","300.00%"
"2022년 11월 30일","-0.001","-0.003","-0.001","-0.009","-87.50%"
"2022년 11월 29일","-0.008","-0.002","0.005","-0.009","33.33%"
"2022년 11월 28일","-0.006","-0.004","-0.002","-0.008","-7.69%"
"2022년 11월 27일","-0.007","-0.009","-0.007","-0.009","-27.78%"
"2022년 11월 25일","-0.009","-0.010","-0.003","-0.012","-35.71%"
"2022년 11월 24일","-0.014","-0.013","-0.011","-0.020","-17.65%"
"2022년 11월 23일","-0.017","-0.015","-0.015","-0.017","54.55%"
"2022년 11월 22일","-0.011","0.001","0.001","-0.013","120.00%"
"2022년 11월 21일","-0.005","-0.005","-0.001","-0.008","-56.52%"
"2022년 11월 20일","-0.012","-0.013","-0.012","-0.013","-17.86%"
