"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","0.970","1.000","1.000","0.860","0.00%"
"2022년 12월 19일","0.970","1.030","1.160","0.880","-1.02%"
"2022년 12월 18일","0.980","0.940","0.980","0.940","16.67%"
"2022년 12월 16일","0.840","1.030","1.050","0.790","-15.15%"
"2022년 12월 15일","0.990","0.700","1.030","0.700","30.26%"
"2022년 12월 14일","0.760","0.700","0.810","0.650","-1.30%"
"2022년 12월 13일","0.770","0.700","0.930","0.700","0.00%"
"2022년 12월 12일","0.770","0.700","0.880","0.700","10.00%"
"2022년 12월 11일","0.700","0.750","0.750","0.700","-4.11%"
"2022년 12월 10일","0.730","0.710","0.760","0.710","2.82%"
"2022년 12월 09일","0.710","0.710","0.850","0.670","0.00%"
"2022년 12월 08일","0.710","0.700","0.800","0.620","4.41%"
"2022년 12월 07일","0.680","0.710","0.760","0.660","0.00%"
"2022년 12월 06일","0.680","0.720","0.780","0.680","0.00%"
"2022년 12월 05일","0.680","0.700","0.810","0.660","3.03%"
"2022년 12월 04일","0.660","0.660","0.660","0.660","0.00%"
"2022년 12월 03일","0.660","0.660","0.660","0.660","0.00%"
"2022년 12월 02일","0.660","0.550","0.810","0.550","0.00%"
"2022년 12월 01일","0.660","0.550","0.750","0.550","0.00%"
"2022년 11월 30일","0.660","0.720","0.820","0.610","-2.94%"
"2022년 11월 29일","0.680","0.700","0.820","0.650","0.00%"
"2022년 11월 28일","0.680","0.720","0.790","0.590","0.00%"
"2022년 11월 27일","0.680","0.680","0.680","0.680","-2.86%"
"2022년 11월 25일","0.700","0.710","0.780","0.580","4.48%"
"2022년 11월 24일","0.670","0.700","0.720","0.560","1.52%"
"2022년 11월 23일","0.660","0.550","0.720","0.550","-2.94%"
"2022년 11월 22일","0.680","0.550","0.720","0.550","3.03%"
"2022년 11월 21일","0.660","0.550","0.720","0.550","3.13%"
"2022년 11월 20일","0.640","0.640","0.640","0.640","0.00%"
