"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","9.650","9.670","9.670","9.650","-0.92%"
"2022년 12월 15일","9.740","10.000","10.000","9.740","0.00%"
"2022년 12월 14일","9.740","9.740","9.740","9.710","0.00%"
"2022년 12월 13일","9.740","9.900","9.900","9.740","-1.62%"
"2022년 12월 12일","9.900","10.110","10.110","9.900","-2.37%"
"2022년 12월 09일","10.140","10.140","10.140","10.140","1.81%"
"2022년 12월 08일","9.960","10.040","10.040","9.960","-0.80%"
"2022년 12월 07일","10.040","10.190","10.190","10.000","-1.57%"
"2022년 12월 06일","10.200","9.870","10.310","9.870","3.34%"
"2022년 12월 05일","9.870","9.810","9.870","9.780","1.33%"
"2022년 12월 02일","9.740","9.780","9.780","9.710","-0.41%"
"2022년 12월 01일","9.780","9.860","9.860","9.780","-0.81%"
"2022년 11월 30일","9.860","9.860","9.860","9.860","-0.10%"
"2022년 11월 29일","9.870","9.870","9.870","9.870","0.00%"
"2022년 11월 28일","9.870","9.910","9.910","9.810","-0.20%"
"2022년 11월 25일","9.890","10.640","10.640","9.890","-0.40%"
"2022년 11월 24일","9.930","9.940","9.940","9.900","-0.10%"
"2022년 11월 23일","9.940","10.010","10.010","9.900","-0.70%"
"2022년 11월 22일","10.010","9.940","10.270","9.870","-1.28%"
