"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","2.253","2.236","2.284","2.207","3.28%"
"2022년 12월 19일","2.181","2.172","2.217","2.158","0.18%"
"2022년 12월 16일","2.177","2.115","2.237","2.110","3.32%"
"2022년 12월 15일","2.107","1.904","2.143","1.880","10.72%"
"2022년 12월 14일","1.903","1.891","1.961","1.860","0.58%"
"2022년 12월 13일","1.892","1.955","1.972","1.826","-2.07%"
"2022년 12월 12일","1.932","1.912","1.938","1.868","1.52%"
"2022년 12월 09일","1.903","1.814","1.923","1.805","5.08%"
"2022년 12월 08일","1.811","1.800","1.824","1.753","2.03%"
"2022년 12월 07일","1.775","1.808","1.818","1.745","-1.17%"
"2022년 12월 06일","1.796","1.913","1.924","1.786","-4.32%"
"2022년 12월 05일","1.877","1.880","1.893","1.817","1.08%"
"2022년 12월 02일","1.857","1.833","1.871","1.737","2.82%"
"2022년 12월 01일","1.806","1.829","1.860","1.778","-6.23%"
"2022년 11월 30일","1.926","1.901","1.956","1.897","1.80%"
"2022년 11월 29일","1.892","1.945","1.953","1.850","-4.44%"
"2022년 11월 28일","1.980","1.926","2.024","1.907","0.76%"
"2022년 11월 25일","1.965","1.879","1.977","1.859","5.87%"
"2022년 11월 24일","1.856","1.915","1.923","1.808","-3.88%"
"2022년 11월 23일","1.931","1.979","2.024","1.914","-1.83%"
"2022년 11월 22일","1.967","1.980","2.011","1.950","0.41%"
"2022년 11월 21일","1.959","1.991","2.041","1.933","-1.90%"
