"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.865","3.778","3.898","3.775","2.32%"
"2022년 12월 18일","3.778","3.778","3.778","3.778","1.02%"
"2022년 12월 17일","3.740","3.740","3.740","3.740","0.46%"
"2022년 12월 16일","3.723","3.724","3.808","3.708","1.61%"
"2022년 12월 15일","3.664","3.737","3.742","3.622","-1.66%"
"2022년 12월 14일","3.726","3.697","3.789","3.690","-0.32%"
"2022년 12월 13일","3.738","3.634","3.739","3.627","2.75%"
"2022년 12월 12일","3.638","3.593","3.669","3.514","0.97%"
"2022년 12월 09일","3.603","3.555","3.613","3.542","1.69%"
"2022년 12월 08일","3.543","3.477","3.548","3.467","1.78%"
"2022년 12월 07일","3.481","3.469","3.547","3.466","-0.40%"
"2022년 12월 06일","3.495","3.503","3.514","3.438","0.09%"
"2022년 12월 05일","3.492","3.531","3.542","3.462","-1.24%"
"2022년 12월 02일","3.536","3.443","3.570","3.394","2.20%"
"2022년 12월 01일","3.460","3.398","3.491","3.398","-0.92%"
"2022년 11월 30일","3.492","3.446","3.510","3.401","2.08%"
"2022년 11월 29일","3.421","3.410","3.476","3.380","-0.93%"
"2022년 11월 28일","3.453","3.389","3.491","3.366","0.10%"
"2022년 11월 27일","3.450","3.450","3.450","3.450","0.15%"
"2022년 11월 26일","3.444","3.444","3.444","3.444","0.51%"
"2022년 11월 25일","3.427","3.416","3.452","3.372","1.75%"
"2022년 11월 24일","3.368","3.227","3.373","3.219","1.69%"
"2022년 11월 23일","3.312","3.461","3.468","3.279","-3.80%"
"2022년 11월 22일","3.443","3.463","3.506","3.430","-0.46%"
"2022년 11월 21일","3.459","3.556","3.595","3.423","-2.48%"
