"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","0.520","0.840","0.850","0.470","52.94%"
"2022년 12월 15일","0.340","0.150","0.650","0.150","-45.16%"
"2022년 12월 14일","0.620","0.270","0.620","0.190","100.00%"
"2022년 12월 13일","0.310","0.600","0.620","0.300","-48.33%"
"2022년 12월 12일","0.600","0.550","0.600","0.420","9.09%"
"2022년 12월 09일","0.550","0.330","0.550","0.330","37.50%"
"2022년 12월 08일","0.400","0.500","0.550","0.270","48.15%"
"2022년 12월 07일","0.270","0.500","0.500","0.270","-20.59%"
"2022년 12월 06일","0.340","0.500","0.500","0.340","-32.00%"
"2022년 12월 05일","0.500","0.160","0.500","0.160","78.57%"
"2022년 12월 02일","0.280","0.300","0.300","0.220","40.00%"
"2022년 12월 01일","0.200","0.150","0.230","0.130","33.33%"
"2022년 11월 30일","0.150","0.520","0.520","0.130","-70.00%"
"2022년 11월 29일","0.500","0.150","0.520","0.100","2.04%"
"2022년 11월 28일","0.490","0.150","0.500","0.120","250.00%"
"2022년 11월 27일","0.140","0.140","0.140","0.140","-71.43%"
"2022년 11월 25일","0.490","0.190","0.490","0.140","2.08%"
"2022년 11월 24일","0.480","0.200","0.480","0.110","6.67%"
"2022년 11월 23일","0.450","0.150","0.450","0.130","0.00%"
"2022년 11월 22일","0.450","0.080","0.450","0.080","9.76%"
"2022년 11월 21일","0.410","0.150","0.410","0.110","215.38%"
"2022년 11월 20일","0.130","0.130","0.130","0.130","-13.33%"
"2022년 11월 19일","0.150","0.150","0.150","0.150","36.36%"
