"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.511","2.484","2.524","2.475","1.09%"
"2022년 12월 16일","2.484","2.475","2.566","2.473","3.61%"
"2022년 12월 15일","2.398","2.244","2.452","2.166","9.53%"
"2022년 12월 14일","2.189","2.169","2.256","2.153","-0.11%"
"2022년 12월 13일","2.191","2.267","2.267","2.108","-2.27%"
"2022년 12월 12일","2.242","2.219","2.242","2.160","1.77%"
"2022년 12월 09일","2.203","2.126","2.226","2.119","4.99%"
"2022년 12월 08일","2.099","2.065","2.118","2.042","1.93%"
"2022년 12월 07일","2.059","2.036","2.106","2.022","-0.77%"
"2022년 12월 06일","2.075","2.167","2.167","2.057","-3.32%"
"2022년 12월 05일","2.146","2.151","2.172","2.092","1.00%"
"2022년 12월 02일","2.125","2.092","2.146","2.017","1.69%"
"2022년 12월 01일","2.089","2.141","2.172","2.073","-6.42%"
"2022년 11월 30일","2.233","2.247","2.294","2.224","0.13%"
"2022년 11월 29일","2.230","2.233","2.264","2.174","-3.27%"
"2022년 11월 28일","2.305","2.240","2.345","2.227","1.35%"
"2022년 11월 25일","2.274","2.151","2.286","2.151","6.13%"
"2022년 11월 24일","2.143","2.155","2.164","2.083","-3.04%"
"2022년 11월 23일","2.210","2.261","2.298","2.185","-1.03%"
"2022년 11월 22일","2.233","2.249","2.287","2.213","-0.48%"
"2022년 11월 21일","2.244","2.260","2.305","2.196","-0.42%"
"2022년 11월 19일","2.253","2.253","2.253","2.253","-0.44%"
