"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","1.131","1.131","1.164","1.131","4.72%"
"2022년 12월 15일","1.080","1.105","1.105","1.080","10.20%"
"2022년 12월 14일","0.980","1.073","1.073","0.960","-5.50%"
"2022년 12월 13일","1.037","1.037","1.037","1.037","3.70%"
"2022년 12월 12일","1.000","0.980","1.000","0.980","11.86%"
"2022년 12월 09일","0.894","0.894","0.894","0.894","3.95%"
"2022년 12월 08일","0.860","0.912","0.912","0.860","4.88%"
"2022년 12월 07일","0.820","0.825","0.825","0.820","1.23%"
"2022년 12월 06일","0.810","0.820","0.820","0.810","0.12%"
"2022년 12월 05일","0.809","0.809","0.809","0.809","3.06%"
"2022년 12월 02일","0.785","0.816","0.816","0.785","0.00%"
"2022년 12월 01일","0.785","0.832","0.832","0.780","-3.09%"
"2022년 11월 30일","0.810","0.810","0.810","0.810","1.25%"
"2022년 11월 29일","0.800","0.880","0.880","0.800","-8.05%"
"2022년 11월 28일","0.870","0.885","0.885","0.870","0.35%"
"2022년 11월 25일","0.867","0.965","0.965","0.867","-8.25%"
"2022년 11월 24일","0.945","0.950","0.950","0.945","2.83%"
"2022년 11월 23일","0.919","0.923","0.923","0.919","-2.23%"
"2022년 11월 22일","0.940","0.969","0.970","0.940","0.00%"
"2022년 11월 21일","0.940","0.940","0.940","0.920","-11.45%"
