"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","2.539","2.495","2.578","2.495","1.52%"
"2022년 12월 19일","2.501","2.468","2.509","2.446","1.04%"
"2022년 12월 16일","2.475","2.490","2.555","2.470","2.48%"
"2022년 12월 15일","2.415","2.257","2.486","2.175","10.33%"
"2022년 12월 14일","2.189","2.178","2.238","2.159","-0.94%"
"2022년 12월 13일","2.210","2.296","2.304","2.155","-3.32%"
"2022년 12월 12일","2.286","2.247","2.291","2.212","2.56%"
"2022년 12월 09일","2.229","2.169","2.267","2.167","4.10%"
"2022년 12월 08일","2.141","2.105","2.171","2.092","1.22%"
"2022년 12월 07일","2.115","2.093","2.153","2.080","-1.35%"
"2022년 12월 06일","2.144","2.214","2.215","2.121","-1.88%"
"2022년 12월 05일","2.185","2.190","2.220","2.150","0.44%"
"2022년 12월 02일","2.176","2.144","2.185","2.036","2.76%"
"2022년 12월 01일","2.117","2.161","2.181","2.086","-4.59%"
"2022년 11월 30일","2.219","2.236","2.276","2.208","1.05%"
"2022년 11월 29일","2.196","2.202","2.231","2.124","-3.37%"
"2022년 11월 28일","2.273","2.215","2.317","2.211","1.53%"
"2022년 11월 25일","2.238","2.161","2.333","2.125","2.79%"
"2022년 11월 24일","2.178","2.057","2.236","2.045","0.20%"
"2022년 11월 23일","2.173","2.157","2.271","2.083","2.92%"
"2022년 11월 22일","2.112","2.102","2.230","2.070","0.78%"
"2022년 11월 21일","2.095","2.117","2.227","2.045","1.54%"
