"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.822","2.845","2.851","2.812","-2.03%"
"2022년 12월 16일","2.881","2.891","2.891","2.850","0.59%"
"2022년 12월 15일","2.864","2.863","2.864","2.833","0.53%"
"2022년 12월 14일","2.849","2.930","2.930","2.831","-1.76%"
"2022년 12월 13일","2.900","2.900","2.915","2.884","0.21%"
"2022년 12월 12일","2.894","2.948","2.948","2.860","0.52%"
"2022년 12월 09일","2.879","2.938","2.938","2.860","-0.03%"
"2022년 12월 08일","2.880","2.885","2.899","2.855","0.00%"
"2022년 12월 07일","2.880","2.910","2.910","2.860","-0.41%"
"2022년 12월 06일","2.892","2.877","2.892","2.863","0.77%"
"2022년 12월 05일","2.870","2.900","2.930","2.860","0.00%"
"2022년 12월 02일","2.870","2.890","2.890","2.852","-0.17%"
"2022년 12월 01일","2.875","2.895","2.920","2.865","-0.48%"
"2022년 11월 30일","2.889","2.912","2.912","2.874","-0.21%"
"2022년 11월 29일","2.895","2.863","2.895","2.852","1.37%"
"2022년 11월 28일","2.856","2.908","2.908","2.825","0.85%"
"2022년 11월 25일","2.832","2.813","2.832","2.789","1.36%"
"2022년 11월 24일","2.794","2.805","2.812","2.780","-0.68%"
"2022년 11월 23일","2.813","2.847","2.850","2.806","-1.23%"
"2022년 11월 22일","2.848","2.838","2.848","2.818","0.46%"
"2022년 11월 21일","2.835","2.825","2.868","2.815","-0.70%"
