"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","2.478","2.480","2.483","2.472","0.00%"
"2022년 12월 19일","2.478","2.520","2.520","2.474","-2.21%"
"2022년 12월 16일","2.534","2.564","2.564","2.525","0.04%"
"2022년 12월 15일","2.533","2.559","2.559","2.515","0.08%"
"2022년 12월 14일","2.531","2.618","2.618","2.526","-2.47%"
"2022년 12월 13일","2.595","2.550","2.603","2.545","1.96%"
"2022년 12월 12일","2.545","2.608","2.608","2.513","0.87%"
"2022년 12월 09일","2.523","2.524","2.524","2.495","1.00%"
"2022년 12월 08일","2.498","2.525","2.525","2.477","0.20%"
"2022년 12월 07일","2.493","2.484","2.505","2.464","1.05%"
"2022년 12월 06일","2.467","2.450","2.467","2.438","0.94%"
"2022년 12월 05일","2.444","2.460","2.490","2.434","-0.16%"
"2022년 12월 02일","2.448","2.462","2.462","2.423","0.58%"
"2022년 12월 01일","2.434","2.485","2.485","2.429","-0.45%"
"2022년 11월 30일","2.445","2.513","2.513","2.433","-1.21%"
"2022년 11월 29일","2.475","2.447","2.475","2.417","2.32%"
"2022년 11월 28일","2.419","2.505","2.505","2.388","0.79%"
"2022년 11월 25일","2.400","2.367","2.401","2.338","2.13%"
"2022년 11월 24일","2.350","2.405","2.405","2.336","-1.76%"
"2022년 11월 23일","2.392","2.443","2.443","2.380","-1.44%"
"2022년 11월 22일","2.427","2.443","2.446","2.419","-0.45%"
"2022년 11월 21일","2.438","2.500","2.530","2.408","-1.06%"
