"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.9215","3.9327","3.9355","3.9103","-0.57%"
"2022년 12월 18일","3.9439","3.9327","3.9439","3.9327","0.93%"
"2022년 12월 16일","3.9076","3.9610","4.0250","3.8820","-1.00%"
"2022년 12월 15일","3.9470","3.9360","3.9920","3.9080","0.85%"
"2022년 12월 14일","3.9136","3.9440","4.0450","3.8800","-0.71%"
"2022년 12월 13일","3.9415","4.0980","4.1260","3.8580","-4.68%"
"2022년 12월 12일","4.1350","4.1100","4.1630","4.0550","0.54%"
"2022년 12월 11일","4.1126","4.1098","4.1126","4.1098","0.35%"
"2022년 12월 09일","4.0984","4.0570","4.1070","3.9960","1.09%"
"2022년 12월 08일","4.0542","4.0040","4.0710","4.0010","1.47%"
"2022년 12월 07일","3.9953","4.1120","4.1200","3.9730","-2.63%"
"2022년 12월 06일","4.1032","4.1230","4.1460","4.0780","-0.56%"
"2022년 12월 05일","4.1262","4.0220","4.1460","4.0160","2.59%"
"2022년 12월 04일","4.0221","4.0221","4.0221","4.0221","0.63%"
"2022년 12월 02일","3.9968","3.9760","4.1320","3.8960","0.74%"
"2022년 12월 01일","3.9673","4.0610","4.1050","3.9640","-2.43%"
"2022년 11월 30일","4.0661","4.2440","4.3140","4.0490","-4.25%"
"2022년 11월 29일","4.2468","4.2100","4.2640","4.1650","1.00%"
"2022년 11월 28일","4.2047","4.2140","4.2470","4.1710","-0.28%"
"2022년 11월 27일","4.2163","4.3179","4.3179","4.2163","0.00%"
"2022년 11월 25일","4.2163","4.1810","4.2840","4.1720","0.85%"
"2022년 11월 24일","4.1806","4.1806","4.1806","4.1806","-0.93%"
"2022년 11월 23일","4.2200","4.3130","4.3640","4.2200","-1.59%"
"2022년 11월 22일","4.2880","4.3160","4.3160","4.2630","-0.78%"
"2022년 11월 21일","4.3219","4.2800","4.3300","4.2430","1.05%"
"2022년 11월 20일","4.2772","4.2856","4.2856","4.2744","-0.46%"
