"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","11.085","11.015","11.105","10.915","0.68%"
"2022년 12월 16일","11.010","10.930","11.100","10.730","1.85%"
"2022년 12월 15일","10.810","10.770","10.810","10.670","1.12%"
"2022년 12월 14일","10.690","10.870","10.870","10.550","0.38%"
"2022년 12월 13일","10.650","11.280","11.280","10.520","1.04%"
"2022년 12월 12일","10.540","10.530","10.640","10.310","-0.09%"
"2022년 12월 09일","10.550","10.760","10.760","10.510","-0.28%"
"2022년 12월 08일","10.580","10.700","10.700","10.510","-0.47%"
"2022년 12월 07일","10.630","10.580","10.660","10.580","0.76%"
"2022년 12월 06일","10.550","10.940","10.940","10.530","-2.13%"
"2022년 12월 05일","10.780","10.720","10.780","10.450","1.13%"
"2022년 12월 02일","10.660","10.740","10.740","10.530","1.43%"
"2022년 12월 01일","10.510","10.490","10.590","10.410","-0.10%"
"2022년 11월 30일","10.520","10.560","10.560","10.470","0.48%"
"2022년 11월 29일","10.470","10.520","10.520","10.460","0.10%"
"2022년 11월 28일","10.460","10.580","10.580","10.410","0.29%"
"2022년 11월 25일","10.430","13.580","13.580","10.420","0.77%"
"2022년 11월 24일","10.350","11.600","11.600","10.210","0.49%"
"2022년 11월 23일","10.300","10.760","10.760","10.230","0.19%"
"2022년 11월 22일","10.280","10.220","10.320","10.130","0.10%"
"2022년 11월 21일","10.270","10.280","10.350","10.080","0.69%"
