"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.4910","3.4090","3.5170","3.4020","2.39%"
"2022년 12월 18일","3.4095","3.4095","3.4095","3.4095","1.13%"
"2022년 12월 17일","3.3715","3.3715","3.3715","3.3715","0.34%"
"2022년 12월 16일","3.3600","3.3300","3.4360","3.3200","2.72%"
"2022년 12월 15일","3.2710","3.3560","3.3620","3.2270","-2.27%"
"2022년 12월 14일","3.3470","3.3080","3.3830","3.2930","0.03%"
"2022년 12월 13일","3.3460","3.2470","3.3460","3.2330","2.83%"
"2022년 12월 12일","3.2540","3.2280","3.2830","3.1500","0.46%"
"2022년 12월 09일","3.2390","3.1620","3.2390","3.1460","2.86%"
"2022년 12월 08일","3.1490","3.0890","3.1700","3.0760","1.71%"
"2022년 12월 07일","3.0960","3.0980","3.1700","3.0880","-0.96%"
"2022년 12월 06일","3.1260","3.1540","3.1670","3.0700","-0.57%"
"2022년 12월 05일","3.1440","3.1830","3.1900","3.1020","-1.44%"
"2022년 12월 02일","3.1900","3.1270","3.2250","3.0430","1.53%"
"2022년 12월 01일","3.1420","3.1080","3.1750","3.0930","-1.84%"
"2022년 11월 30일","3.2010","3.1660","3.2340","3.1430","1.91%"
"2022년 11월 29일","3.1410","3.1250","3.2040","3.0950","-0.88%"
"2022년 11월 28일","3.1690","3.1220","3.2080","3.0980","-0.35%"
"2022년 11월 27일","3.1800","3.1800","3.1800","3.1800","0.16%"
"2022년 11월 26일","3.1750","3.1750","3.1750","3.1750","0.47%"
"2022년 11월 25일","3.1600","3.1280","3.1930","3.0830","2.60%"
"2022년 11월 24일","3.0800","2.9670","3.0840","2.9340","1.25%"
"2022년 11월 23일","3.0420","3.1860","3.1910","3.0160","-3.92%"
"2022년 11월 22일","3.1660","3.2260","3.2620","3.1630","-1.71%"
"2022년 11월 21일","3.2210","3.2790","3.3180","3.1840","-1.50%"
