"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","1.321","1.301","1.334","1.299","4.22%"
"2022년 12월 19일","1.268","1.221","1.268","1.193","0.60%"
"2022년 12월 16일","1.260","1.208","1.260","1.206","1.37%"
"2022년 12월 15일","1.243","1.130","1.243","1.092","9.61%"
"2022년 12월 14일","1.134","1.155","1.190","1.107","-1.73%"
"2022년 12월 13일","1.154","1.225","1.230","1.121","-1.62%"
"2022년 12월 12일","1.173","1.186","1.186","1.130","-0.34%"
"2022년 12월 09일","1.177","1.070","1.177","1.063","13.17%"
"2022년 12월 08일","1.040","1.038","1.059","1.023","1.66%"
"2022년 12월 07일","1.023","0.961","1.062","0.961","3.54%"
"2022년 12월 06일","0.988","1.100","1.100","0.986","-8.60%"
"2022년 12월 05일","1.081","1.050","1.081","1.013","4.65%"
"2022년 12월 02일","1.033","1.037","1.067","0.981","-0.39%"
"2022년 12월 01일","1.037","1.065","1.066","1.017","-5.04%"
"2022년 11월 30일","1.092","1.072","1.120","1.064","4.40%"
"2022년 11월 29일","1.046","1.004","1.064","1.004","-2.24%"
"2022년 11월 28일","1.070","1.030","1.089","1.025","-1.56%"
"2022년 11월 25일","1.087","0.969","1.089","0.969","13.94%"
"2022년 11월 24일","0.954","0.963","0.979","0.931","-3.83%"
"2022년 11월 23일","0.992","1.027","1.048","0.991","-2.17%"
"2022년 11월 22일","1.014","1.047","1.059","1.006","0.30%"
"2022년 11월 21일","1.011","1.026","1.063","0.998","-2.41%"
