"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","1.987","2.004","2.023","1.976","-1.22%"
"2022년 12월 16일","2.012","2.115","2.123","2.003","-0.91%"
"2022년 12월 15일","2.030","2.036","2.045","1.994","1.30%"
"2022년 12월 14일","2.004","2.038","2.041","1.979","-1.13%"
"2022년 12월 13일","2.027","2.089","2.089","1.987","-2.38%"
"2022년 12월 12일","2.077","2.043","2.119","2.020","3.82%"
"2022년 12월 09일","2.000","1.909","2.078","1.882","4.14%"
"2022년 12월 08일","1.921","1.931","1.934","1.873","1.16%"
"2022년 12월 07일","1.899","1.891","1.899","1.831","0.48%"
"2022년 12월 06일","1.890","1.921","1.957","1.860","2.91%"
"2022년 12월 05일","1.837","1.847","1.897","1.711","-0.14%"
"2022년 12월 02일","1.839","1.839","1.839","1.839","0.77%"
"2022년 12월 01일","1.825","1.845","1.877","1.804","-0.63%"
"2022년 11월 30일","1.837","1.814","1.845","1.814","1.75%"
"2022년 11월 29일","1.805","1.901","1.928","1.805","-5.37%"
"2022년 11월 28일","1.908","1.867","1.908","1.867","1.46%"
"2022년 11월 25일","1.880","1.837","1.901","1.808","5.44%"
"2022년 11월 24일","1.783","1.731","1.819","1.731","1.86%"
"2022년 11월 23일","1.750","1.717","1.765","1.717","3.67%"
"2022년 11월 22일","1.689","1.722","1.773","1.686","-1.66%"
"2022년 11월 21일","1.717","1.793","1.855","1.704","-4.72%"
