"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","10.480","10.560","10.560","10.480","-2.06%"
"2022년 12월 15일","10.700","10.700","10.700","10.700","-0.28%"
"2022년 12월 14일","10.730","10.930","10.930","10.700","-1.92%"
"2022년 12월 13일","10.940","10.990","10.990","10.940","-0.09%"
"2022년 12월 12일","10.950","10.810","11.040","10.810","2.05%"
"2022년 12월 09일","10.730","10.690","10.730","10.690","1.61%"
"2022년 12월 08일","10.560","10.560","10.560","10.560","0.57%"
"2022년 12월 07일","10.500","10.450","10.560","10.450","-0.28%"
"2022년 12월 06일","10.530","10.480","10.600","10.480","0.48%"
"2022년 12월 05일","10.480","10.440","10.560","10.440","0.38%"
"2022년 12월 02일","10.440","10.480","10.520","10.430","-0.67%"
"2022년 12월 01일","10.510","10.560","10.560","10.500","-1.31%"
"2022년 11월 30일","10.650","10.600","10.730","10.600","0.85%"
"2022년 11월 29일","10.560","10.540","10.650","10.540","0.19%"
"2022년 11월 28일","10.540","10.650","10.650","10.540","-1.03%"
"2022년 11월 25일","10.650","10.650","10.650","10.620","0.19%"
"2022년 11월 24일","10.630","10.580","10.650","10.550","0.66%"
"2022년 11월 23일","10.560","10.650","10.690","10.560","-0.85%"
"2022년 11월 22일","10.650","10.980","10.980","10.480","-3.45%"
"2022년 11월 21일","11.030","11.160","11.160","11.030","-2.65%"
