"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","10.028","10.405","10.405","8.867","11.94%"
"2022년 12월 18일","8.958","8.958","8.958","8.958","-0.14%"
"2022년 12월 17일","8.971","8.971","8.971","8.971","1.47%"
"2022년 12월 16일","8.841","8.787","8.841","8.841","-9.52%"
"2022년 12월 15일","9.771","9.131","9.771","9.771","-3.99%"
"2022년 12월 14일","10.177","9.686","10.177","10.177","10.97%"
"2022년 12월 13일","9.171","9.171","9.171","9.171","0.42%"
"2022년 12월 12일","9.133","9.133","9.133","9.133","-0.52%"
"2022년 12월 11일","9.181","9.181","9.181","9.181","-0.47%"
"2022년 12월 10일","9.224","9.224","9.224","9.224","1.91%"
"2022년 12월 09일","9.051","9.051","9.051","9.051","5.60%"
"2022년 12월 08일","8.571","8.571","8.571","8.571","0.11%"
"2022년 12월 07일","8.562","8.562","8.562","8.562","-10.24%"
"2022년 12월 06일","9.539","9.539","9.539","9.539","-0.52%"
"2022년 12월 05일","9.589","9.589","9.589","9.589","7.25%"
"2022년 12월 04일","8.941","9.105","9.105","8.941","-1.80%"
"2022년 12월 03일","9.105","9.105","9.105","9.105","0.00%"
"2022년 12월 02일","9.105","9.105","9.105","9.105","-3.19%"
"2022년 12월 01일","9.405","9.405","9.405","9.405","0.56%"
"2022년 11월 30일","9.353","9.353","9.353","9.353","0.54%"
"2022년 11월 29일","9.303","9.393","9.303","9.303","-0.64%"
"2022년 11월 28일","9.363","9.347","9.363","9.363","-0.82%"
"2022년 11월 27일","9.440","9.440","9.440","9.440","-1.19%"
"2022년 11월 26일","9.554","9.554","9.554","9.554","1.10%"
"2022년 11월 25일","9.450","9.842","9.450","9.450","-2.37%"
"2022년 11월 24일","9.679","9.788","9.679","9.679","-1.07%"
"2022년 11월 23일","9.784","11.283","9.784","9.784","-4.59%"
"2022년 11월 22일","10.255","10.325","10.255","10.255","-2.88%"
"2022년 11월 21일","10.559","10.713","10.559","10.559","-9.62%"
"2022년 11월 20일","11.683","11.683","11.683","11.683","-0.75%"
