"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 18일","3.547","3.547","3.547","3.547","0.77%"
"2022년 12월 16일","3.520","3.461","3.572","3.452","3.80%"
"2022년 12월 15일","3.391","3.487","3.487","3.362","-2.95%"
"2022년 12월 14일","3.494","3.420","3.513","3.404","1.75%"
"2022년 12월 13일","3.434","3.370","3.444","3.336","2.94%"
"2022년 12월 12일","3.336","3.329","3.356","3.252","0.54%"
"2022년 12월 09일","3.318","3.268","3.332","3.247","3.24%"
"2022년 12월 08일","3.214","3.198","3.267","3.179","0.34%"
"2022년 12월 07일","3.203","3.203","3.270","3.191","-0.62%"
"2022년 12월 06일","3.223","3.264","3.270","3.182","-0.62%"
"2022년 12월 05일","3.243","3.287","3.303","3.215","-1.82%"
"2022년 12월 02일","3.303","3.262","3.336","3.167","1.41%"
"2022년 12월 01일","3.257","3.243","3.287","3.211","-1.75%"
"2022년 11월 30일","3.315","3.283","3.347","3.258","2.03%"
"2022년 11월 29일","3.249","3.234","3.305","3.209","-0.73%"
"2022년 11월 28일","3.273","3.239","3.309","3.200","0.40%"
"2022년 11월 25일","3.260","3.228","3.274","3.194","2.29%"
"2022년 11월 24일","3.187","3.081","3.192","3.053","1.08%"
"2022년 11월 23일","3.153","3.298","3.303","3.121","-3.75%"
"2022년 11월 22일","3.276","3.344","3.377","3.273","-1.71%"
"2022년 11월 21일","3.333","3.381","3.426","3.299","-1.45%"
