"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","2.050","1.977","2.097","1.977","3.96%"
"2022년 12월 19일","1.972","1.905","2.001","1.900","2.65%"
"2022년 12월 16일","1.921","1.816","1.939","1.816","5.61%"
"2022년 12월 15일","1.819","1.773","1.865","1.742","3.35%"
"2022년 12월 14일","1.760","1.662","1.767","1.646","5.77%"
"2022년 12월 13일","1.664","1.645","1.699","1.591","1.34%"
"2022년 12월 12일","1.642","1.659","1.675","1.597","-1.32%"
"2022년 12월 09일","1.664","1.560","1.675","1.560","5.92%"
"2022년 12월 08일","1.571","1.567","1.607","1.543","0.00%"
"2022년 12월 07일","1.571","1.553","1.608","1.526","0.83%"
"2022년 12월 06일","1.558","1.607","1.640","1.547","-3.83%"
"2022년 12월 05일","1.620","1.615","1.641","1.564","-0.12%"
"2022년 12월 02일","1.622","1.642","1.659","1.589","-1.58%"
"2022년 12월 01일","1.648","1.703","1.719","1.621","-5.83%"
"2022년 11월 30일","1.750","1.742","1.775","1.721","0.69%"
"2022년 11월 29일","1.738","1.789","1.809","1.725","-4.19%"
"2022년 11월 28일","1.814","1.810","1.835","1.740","1.06%"
"2022년 11월 25일","1.795","1.721","1.813","1.715","5.03%"
"2022년 11월 24일","1.709","1.788","1.795","1.693","-4.74%"
"2022년 11월 23일","1.794","1.894","1.921","1.779","-5.43%"
"2022년 11월 22일","1.897","1.916","1.939","1.885","-0.11%"
"2022년 11월 21일","1.899","1.927","1.977","1.876","-1.22%"
