"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","0.072","0.064","0.072","0.064","25.00%"
"2022년 12월 18일","0.058","0.054","0.058","0.054","-4.92%"
"2022년 12월 16일","0.061","0.065","0.067","0.058","-7.58%"
"2022년 12월 15일","0.066","0.067","0.073","0.066","1.54%"
"2022년 12월 14일","0.065","0.066","0.067","0.063","-9.72%"
"2022년 12월 13일","0.072","0.070","0.075","0.070","1.41%"
"2022년 12월 12일","0.071","0.072","0.081","0.070","0.00%"
"2022년 12월 11일","0.071","0.060","0.071","0.060","9.23%"
"2022년 12월 09일","0.065","0.077","0.081","0.064","-15.58%"
"2022년 12월 08일","0.077","0.068","0.079","0.062","11.59%"
"2022년 12월 07일","0.069","0.072","0.080","0.069","-6.76%"
"2022년 12월 06일","0.074","0.066","0.075","0.064","27.59%"
"2022년 12월 05일","0.058","0.050","0.062","0.050","24.73%"
"2022년 12월 04일","0.047","0.044","0.047","0.044","-12.26%"
"2022년 12월 02일","0.053","0.043","0.055","0.041","8.16%"
"2022년 12월 01일","0.049","0.047","0.050","0.045","-7.55%"
"2022년 11월 30일","0.053","0.049","0.057","0.048","3.92%"
"2022년 11월 29일","0.051","0.049","0.059","0.049","18.60%"
"2022년 11월 28일","0.043","0.048","0.049","0.043","0.00%"
"2022년 11월 27일","0.043","0.041","0.043","0.041","-7.45%"
"2022년 11월 25일","0.047","0.035","0.050","0.035","51.61%"
"2022년 11월 24일","0.031","0.035","0.035","0.023","29.17%"
"2022년 11월 23일","0.024","0.030","0.030","0.024","-29.41%"
"2022년 11월 22일","0.034","0.044","0.045","0.033","-2.86%"
"2022년 11월 21일","0.035","0.038","0.042","0.034","11.11%"
"2022년 11월 20일","0.032","0.030","0.032","0.030","-7.35%"
