"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","1.260","1.231","1.298","1.223","0.72%"
"2022년 12월 15일","1.251","1.197","1.251","1.137","6.56%"
"2022년 12월 14일","1.174","1.182","1.211","1.165","-0.68%"
"2022년 12월 13일","1.182","1.209","1.220","1.149","1.29%"
"2022년 12월 12일","1.167","1.198","1.198","1.121","-0.85%"
"2022년 12월 09일","1.177","1.095","1.177","1.082","12.63%"
"2022년 12월 08일","1.045","1.065","1.074","1.031","-0.48%"
"2022년 12월 07일","1.050","1.007","1.082","1.007","1.65%"
"2022년 12월 06일","1.033","1.137","1.137","1.024","-8.10%"
"2022년 12월 05일","1.124","1.091","1.124","1.044","4.75%"
"2022년 12월 02일","1.073","1.106","1.118","1.032","-2.37%"
"2022년 12월 01일","1.099","1.154","1.156","1.091","-5.58%"
"2022년 11월 30일","1.164","1.161","1.202","1.160","1.84%"
"2022년 11월 29일","1.143","1.090","1.153","1.077","0.00%"
"2022년 11월 28일","1.143","1.087","1.155","1.083","-1.04%"
"2022년 11월 25일","1.155","1.021","1.155","1.021","14.24%"
"2022년 11월 24일","1.011","1.019","1.041","0.986","-3.53%"
"2022년 11월 23일","1.048","1.097","1.106","1.041","-3.41%"
"2022년 11월 22일","1.085","1.139","1.145","1.068","-1.27%"
"2022년 11월 21일","1.099","1.155","1.178","1.087","-5.67%"
