"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.374","3.394","3.401","3.362","0.12%"
"2022년 12월 18일","3.370","3.370","3.370","3.370","0.00%"
"2022년 12월 17일","3.370","3.370","3.370","3.370","0.21%"
"2022년 12월 16일","3.363","3.400","3.404","3.361","-1.26%"
"2022년 12월 15일","3.406","3.571","3.571","3.406","-0.03%"
"2022년 12월 14일","3.407","3.466","3.467","3.405","-1.62%"
"2022년 12월 13일","3.463","3.472","3.478","3.451","-0.14%"
"2022년 12월 12일","3.468","3.495","3.508","3.464","0.23%"
"2022년 12월 11일","3.460","3.460","3.460","3.460","0.00%"
"2022년 12월 10일","3.460","3.460","3.460","3.460","-0.12%"
"2022년 12월 09일","3.464","3.491","3.494","3.450","-1.20%"
"2022년 12월 08일","3.506","3.495","3.520","3.484","1.07%"
"2022년 12월 07일","3.469","3.518","3.528","3.463","-0.66%"
"2022년 12월 06일","3.492","3.538","3.538","3.492","-1.97%"
"2022년 12월 05일","3.562","3.571","3.582","3.547","-0.22%"
"2022년 12월 04일","3.570","3.570","3.570","3.570","0.00%"
"2022년 12월 03일","3.570","3.570","3.570","3.570","0.00%"
"2022년 12월 02일","3.570","3.625","3.625","3.567","-3.02%"
"2022년 12월 01일","3.681","3.665","3.687","3.658","0.25%"
"2022년 11월 30일","3.672","3.683","3.690","3.657","-0.73%"
"2022년 11월 29일","3.699","3.692","3.705","3.666","0.54%"
"2022년 11월 28일","3.679","3.675","3.695","3.654","0.25%"
"2022년 11월 27일","3.670","3.670","3.670","3.670","0.00%"
"2022년 11월 26일","3.670","3.670","3.670","3.670","0.27%"
"2022년 11월 25일","3.660","3.650","3.700","3.635","0.19%"
"2022년 11월 24일","3.653","3.701","3.701","3.631","-3.54%"
"2022년 11월 23일","3.787","3.783","3.821","3.748","0.08%"
"2022년 11월 22일","3.784","3.765","3.800","3.755","0.77%"
"2022년 11월 21일","3.755","3.796","3.811","3.745","-0.40%"
"2022년 11월 20일","3.770","3.770","3.770","3.770","0.00%"
"2022년 11월 19일","3.770","3.770","3.770","3.770","-0.26%"
