"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","3.281","3.281","3.281","3.281","0.15%"
"2022년 12월 19일","3.276","3.127","3.276","3.109","4.87%"
"2022년 12월 16일","3.124","3.124","3.124","3.124","3.14%"
"2022년 12월 15일","3.029","3.029","3.029","3.029","0.13%"
"2022년 12월 14일","3.025","3.124","3.124","3.025","-3.35%"
"2022년 12월 13일","3.130","3.116","3.130","3.116","4.61%"
"2022년 12월 12일","2.992","2.992","2.992","2.992","-1.68%"
"2022년 12월 09일","3.043","3.043","3.043","3.043","-0.33%"
"2022년 12월 08일","3.053","3.053","3.053","3.053","-1.17%"
"2022년 12월 07일","3.089","3.089","3.089","3.089","2.80%"
"2022년 12월 06일","3.005","3.005","3.005","3.005","-1.05%"
"2022년 12월 05일","3.037","3.037","3.037","3.037","-0.07%"
"2022년 12월 02일","3.039","3.039","3.039","3.039","-0.75%"
"2022년 12월 01일","3.062","3.035","3.062","3.035","0.59%"
"2022년 11월 30일","3.044","3.044","3.044","3.044","3.12%"
"2022년 11월 29일","2.952","2.952","2.952","2.952","10.11%"
"2022년 11월 28일","2.681","2.681","2.681","2.681","1.71%"
"2022년 11월 25일","2.636","2.636","2.636","2.636","-0.25%"
"2022년 11월 24일","2.642","2.642","2.642","2.642","-0.58%"
"2022년 11월 23일","2.658","2.658","2.658","2.658","-1.88%"
"2022년 11월 22일","2.709","2.709","2.709","2.709","-1.49%"
"2022년 11월 21일","2.750","2.750","2.750","2.750","0.29%"
