"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","1.028","1.014","1.033","0.994","-5.12%"
"2022년 12월 16일","1.083","1.028","1.083","1.028","8.95%"
"2022년 12월 15일","0.994","0.920","1.013","0.897","7.81%"
"2022년 12월 14일","0.922","0.933","0.933","0.891","-0.86%"
"2022년 12월 13일","0.930","0.988","1.004","0.907","-5.58%"
"2022년 12월 12일","0.985","0.993","0.993","0.888","1.55%"
"2022년 12월 09일","0.970","0.908","0.970","0.893","8.50%"
"2022년 12월 08일","0.894","0.871","0.897","0.859","2.05%"
"2022년 12월 07일","0.876","0.842","0.892","0.834","2.10%"
"2022년 12월 06일","0.858","0.946","0.946","0.843","-4.67%"
"2022년 12월 05일","0.900","0.904","0.912","0.851","0.33%"
"2022년 12월 02일","0.897","0.852","0.909","0.832","4.79%"
"2022년 12월 01일","0.856","0.951","0.959","0.845","-10.18%"
"2022년 11월 30일","0.953","0.957","0.980","0.930","1.93%"
"2022년 11월 29일","0.935","0.893","0.938","0.859","0.43%"
"2022년 11월 28일","0.931","0.920","0.954","0.909","-0.96%"
"2022년 11월 25일","0.940","0.826","0.947","0.826","12.17%"
"2022년 11월 24일","0.838","0.819","0.857","0.789","-0.24%"
"2022년 11월 23일","0.840","0.825","0.851","0.810","3.58%"
"2022년 11월 22일","0.811","0.837","0.848","0.803","0.00%"
"2022년 11월 21일","0.811","0.759","0.841","0.759","0.37%"
