"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 18일","3.670","3.670","3.670","3.670","0.00%"
"2022년 12월 17일","3.670","3.670","3.670","3.670","0.00%"
"2022년 12월 16일","3.670","3.670","3.670","3.670","0.66%"
"2022년 12월 15일","3.646","3.645","3.646","3.645","0.58%"
"2022년 12월 14일","3.625","3.625","3.625","3.625","-0.22%"
"2022년 12월 13일","3.633","3.635","3.635","3.632","0.28%"
"2022년 12월 12일","3.623","3.620","3.623","3.620","-0.03%"
"2022년 12월 11일","3.624","3.624","3.624","3.624","0.00%"
"2022년 12월 10일","3.624","3.624","3.624","3.624","0.00%"
"2022년 12월 09일","3.624","3.627","3.627","3.624","-0.03%"
"2022년 12월 08일","3.625","3.630","3.630","3.625","0.00%"
"2022년 12월 07일","3.625","3.630","3.630","3.625","0.30%"
"2022년 12월 06일","3.614","3.617","3.617","3.613","-0.39%"
"2022년 12월 05일","3.628","3.630","3.630","3.627","-0.30%"
"2022년 12월 04일","3.639","3.639","3.639","3.639","0.00%"
"2022년 12월 03일","3.639","3.639","3.639","3.639","0.00%"
"2022년 12월 02일","3.639","3.640","3.640","3.637","-0.57%"
"2022년 12월 01일","3.660","3.660","3.660","3.660","-1.11%"
"2022년 11월 30일","3.701","3.705","3.705","3.701","0.00%"
"2022년 11월 29일","3.701","3.705","3.705","3.701","0.54%"
"2022년 11월 28일","3.681","3.680","3.682","3.680","0.63%"
"2022년 11월 27일","3.658","3.658","3.658","3.658","0.00%"
"2022년 11월 26일","3.658","3.658","3.658","3.658","0.00%"
"2022년 11월 25일","3.658","3.660","3.660","3.655","-2.22%"
"2022년 11월 24일","3.741","3.730","3.741","3.730","-2.60%"
"2022년 11월 23일","3.841","3.845","3.845","3.841","0.00%"
"2022년 11월 22일","3.841","3.840","3.842","3.840","0.16%"
"2022년 11월 21일","3.835","3.835","3.835","3.835","1.03%"
"2022년 11월 20일","3.796","3.796","3.796","3.796","0.00%"
"2022년 11월 19일","3.796","3.796","3.796","3.796","0.00%"
