"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","1.730","1.717","2.132","1.663","15.75%"
"2022년 12월 16일","1.495","1.556","1.572","1.470","-2.86%"
"2022년 12월 15일","1.539","1.567","1.579","1.465","5.41%"
"2022년 12월 14일","1.460","1.532","1.545","1.450","-4.51%"
"2022년 12월 13일","1.529","1.527","1.540","1.450","0.53%"
"2022년 12월 12일","1.521","1.430","1.523","1.424","0.40%"
"2022년 12월 09일","1.515","1.495","1.525","1.402","1.88%"
"2022년 12월 08일","1.487","1.492","1.492","1.380","0.88%"
"2022년 12월 07일","1.474","1.484","1.484","1.369","-0.34%"
"2022년 12월 06일","1.479","1.514","1.516","1.380","-1.92%"
"2022년 12월 05일","1.508","1.581","1.592","1.429","13.64%"
"2022년 12월 02일","1.327","1.355","1.446","1.303","-1.78%"
"2022년 12월 01일","1.351","1.451","1.451","1.335","-6.05%"
"2022년 11월 30일","1.438","1.385","1.448","1.350","4.58%"
"2022년 11월 29일","1.375","1.455","1.457","1.331","-2.55%"
"2022년 11월 28일","1.411","1.468","1.530","1.390","-7.23%"
"2022년 11월 25일","1.521","1.535","1.538","1.431","-0.13%"
"2022년 11월 24일","1.523","1.420","1.525","1.418","0.53%"
"2022년 11월 23일","1.515","1.489","1.520","1.421","2.30%"
"2022년 11월 22일","1.481","1.480","1.481","1.390","7.87%"
"2022년 11월 21일","1.373","1.536","1.543","1.360","9.05%"
