"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.270","2.290","2.300","2.253","-2.13%"
"2022년 12월 16일","2.320","2.345","2.345","2.308","0.61%"
"2022년 12월 15일","2.306","2.351","2.351","2.298","-0.52%"
"2022년 12월 14일","2.318","2.357","2.357","2.307","-0.56%"
"2022년 12월 13일","2.331","2.325","2.331","2.300","0.78%"
"2022년 12월 12일","2.313","2.360","2.360","2.275","0.83%"
"2022년 12월 09일","2.294","2.250","2.294","2.250","1.82%"
"2022년 12월 08일","2.253","2.260","2.276","2.240","0.13%"
"2022년 12월 07일","2.250","2.216","2.280","2.193","2.27%"
"2022년 12월 06일","2.200","2.210","2.220","2.188","-1.35%"
"2022년 12월 05일","2.230","2.200","2.230","2.155","0.45%"
"2022년 12월 02일","2.220","2.170","2.220","2.142","2.45%"
"2022년 12월 01일","2.167","2.143","2.167","2.132","0.70%"
"2022년 11월 30일","2.152","2.200","2.200","2.132","-1.74%"
"2022년 11월 29일","2.190","2.125","2.190","2.088","3.64%"
"2022년 11월 28일","2.113","2.110","2.160","2.055","-0.80%"
"2022년 11월 25일","2.130","2.083","2.130","2.062","2.16%"
"2022년 11월 24일","2.085","2.150","2.150","2.058","-2.80%"
"2022년 11월 23일","2.145","2.177","2.177","2.133","-0.79%"
"2022년 11월 22일","2.162","2.165","2.165","2.128","0.09%"
"2022년 11월 21일","2.160","2.210","2.240","2.130","-0.92%"
