"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.044","2.012","2.062","1.997","1.43%"
"2022년 12월 16일","2.015","1.920","2.035","1.918","5.11%"
"2022년 12월 15일","1.917","1.864","1.959","1.833","3.64%"
"2022년 12월 14일","1.850","1.761","1.863","1.741","5.10%"
"2022년 12월 13일","1.760","1.753","1.798","1.691","1.07%"
"2022년 12월 12일","1.742","1.759","1.768","1.695","-1.03%"
"2022년 12월 09일","1.760","1.658","1.772","1.658","5.50%"
"2022년 12월 08일","1.668","1.665","1.701","1.639","0.11%"
"2022년 12월 07일","1.666","1.645","1.705","1.631","0.70%"
"2022년 12월 06일","1.654","1.712","1.738","1.645","-3.71%"
"2022년 12월 05일","1.718","1.715","1.739","1.661","0.00%"
"2022년 12월 02일","1.718","1.741","1.753","1.685","-1.47%"
"2022년 12월 01일","1.743","1.795","1.808","1.718","-5.50%"
"2022년 11월 30일","1.845","1.836","1.869","1.818","0.84%"
"2022년 11월 29일","1.829","1.919","1.919","1.818","-4.02%"
"2022년 11월 28일","1.906","1.904","1.931","1.827","1.08%"
"2022년 11월 25일","1.886","1.821","1.905","1.806","4.78%"
"2022년 11월 24일","1.800","1.878","1.885","1.783","-4.52%"
"2022년 11월 23일","1.885","1.991","2.008","1.871","-4.93%"
"2022년 11월 22일","1.982","2.011","2.027","1.971","0.08%"
"2022년 11월 21일","1.981","2.008","2.060","1.958","-1.81%"
"2022년 11월 19일","2.017","2.017","2.017","2.017","0.00%"
