"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","3.2880","3.2600","3.3680","3.2450","2.81%"
"2022년 12월 15일","3.1980","3.2770","3.2830","3.1640","-2.83%"
"2022년 12월 14일","3.2910","3.2650","3.3280","3.2430","-0.30%"
"2022년 12월 13일","3.3010","3.2250","3.3010","3.1870","2.80%"
"2022년 12월 12일","3.2110","3.1930","3.2410","3.1120","0.47%"
"2022년 12월 09일","3.1960","3.1400","3.1990","3.1120","2.50%"
"2022년 12월 08일","3.1180","3.0740","3.1420","3.0490","1.53%"
"2022년 12월 07일","3.0710","3.0860","3.1510","3.0650","-1.29%"
"2022년 12월 06일","3.1110","3.1550","3.1560","3.0640","-0.64%"
"2022년 12월 05일","3.1310","3.1560","3.1770","3.0920","-1.39%"
"2022년 12월 02일","3.1750","3.1350","3.2130","3.0300","1.47%"
"2022년 12월 01일","3.1290","3.1200","3.1670","3.0870","-2.16%"
"2022년 11월 30일","3.1980","3.1680","3.2290","3.1350","1.91%"
"2022년 11월 29일","3.1380","3.1370","3.2020","3.1030","-1.01%"
"2022년 11월 28일","3.1700","3.1300","3.2100","3.0940","0.48%"
"2022년 11월 25일","3.1550","3.1110","3.1730","3.0740","2.70%"
"2022년 11월 24일","3.0720","3.0130","3.0750","2.9270","1.45%"
"2022년 11월 23일","3.0280","3.1490","3.1600","2.9990","-3.26%"
"2022년 11월 22일","3.1300","3.2320","3.2320","3.1260","-1.76%"
"2022년 11월 21일","3.1860","3.2330","3.2820","3.1450","-1.39%"
