"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","1.990","1.969","1.990","1.953","-2.81%"
"2022년 12월 19일","2.047","2.043","2.096","1.940","0.00%"
"2022년 12월 16일","2.047","2.100","2.120","1.970","-0.92%"
"2022년 12월 15일","2.066","2.071","2.158","2.010","-1.95%"
"2022년 12월 14일","2.107","2.094","2.116","2.000","0.43%"
"2022년 12월 13일","2.098","2.058","2.116","2.000","0.67%"
"2022년 12월 12일","2.084","1.983","2.128","1.974","5.41%"
"2022년 12월 09일","1.977","2.029","2.068","1.941","-2.23%"
"2022년 12월 08일","2.022","2.021","2.032","1.920","0.30%"
"2022년 12월 07일","2.016","1.980","2.018","1.881","1.46%"
"2022년 12월 06일","1.987","1.932","2.021","1.891","-1.00%"
"2022년 12월 05일","2.007","2.001","2.032","1.904","0.00%"
"2022년 12월 02일","2.007","1.948","2.037","1.897","3.51%"
"2022년 12월 01일","1.939","2.013","2.029","1.914","-3.63%"
"2022년 11월 30일","2.012","2.003","2.022","1.928","0.45%"
"2022년 11월 29일","2.003","1.999","2.017","1.881","-1.62%"
"2022년 11월 28일","2.036","2.050","2.077","1.954","13.43%"
"2022년 11월 25일","1.795","1.802","1.885","1.793","-4.57%"
"2022년 11월 24일","1.881","1.790","1.881","1.790","5.67%"
"2022년 11월 23일","1.780","1.835","1.871","1.757","2.12%"
"2022년 11월 22일","1.743","1.725","1.830","1.725","1.93%"
"2022년 11월 21일","1.710","1.770","1.850","1.710","-7.07%"
