"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","3.326","3.342","3.342","3.316","-0.40%"
"2022년 12월 19일","3.339","3.362","3.362","3.329","-1.30%"
"2022년 12월 16일","3.383","3.352","3.399","3.352","0.92%"
"2022년 12월 15일","3.352","3.392","3.393","3.325","-1.41%"
"2022년 12월 14일","3.400","3.401","3.424","3.368","-0.03%"
"2022년 12월 13일","3.401","3.406","3.408","3.384","-0.15%"
"2022년 12월 12일","3.406","3.373","3.436","3.373","0.50%"
"2022년 12월 09일","3.389","3.386","3.389","3.374","0.09%"
"2022년 12월 08일","3.386","3.381","3.386","3.376","0.06%"
"2022년 12월 07일","3.384","3.304","3.404","3.304","2.42%"
"2022년 12월 06일","3.304","3.349","3.388","3.304","-1.34%"
"2022년 12월 05일","3.349","3.326","3.349","3.208","-0.62%"
"2022년 12월 02일","3.370","3.366","3.421","3.366","0.12%"
"2022년 12월 01일","3.366","3.376","3.377","3.359","-0.30%"
"2022년 11월 30일","3.376","3.364","3.402","3.364","0.36%"
"2022년 11월 29일","3.364","3.368","3.368","3.333","-0.12%"
"2022년 11월 28일","3.368","3.294","3.384","3.274","1.11%"
"2022년 11월 25일","3.331","3.298","3.331","3.281","1.00%"
"2022년 11월 24일","3.298","3.307","3.319","3.294","-0.42%"
"2022년 11월 23일","3.312","3.334","3.339","3.302","-0.66%"
"2022년 11월 22일","3.334","3.341","3.358","3.330","0.57%"
"2022년 11월 21일","3.315","3.319","3.319","3.222","-0.03%"
