"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","1.235","1.181","1.235","1.176","7.67%"
"2022년 12월 15일","1.147","1.094","1.173","1.055","4.37%"
"2022년 12월 14일","1.099","1.094","1.142","1.060","-1.61%"
"2022년 12월 13일","1.117","1.197","1.206","1.067","-0.36%"
"2022년 12월 12일","1.121","1.116","1.121","1.047","1.26%"
"2022년 12월 09일","1.107","1.011","1.107","1.001","10.15%"
"2022년 12월 08일","1.005","0.980","1.016","0.972","1.11%"
"2022년 12월 07일","0.994","0.933","1.008","0.909","6.08%"
"2022년 12월 06일","0.937","1.050","1.050","0.937","-6.77%"
"2022년 12월 05일","1.005","1.001","1.015","0.943","1.11%"
"2022년 12월 02일","0.994","0.964","1.008","0.916","2.69%"
"2022년 12월 01일","0.968","1.012","1.018","0.961","-8.59%"
"2022년 11월 30일","1.059","1.021","1.059","1.010","6.65%"
"2022년 11월 29일","0.993","0.969","1.008","0.939","-2.65%"
"2022년 11월 28일","1.020","0.975","1.027","0.971","-2.39%"
"2022년 11월 25일","1.045","0.910","1.046","0.910","13.71%"
"2022년 11월 24일","0.919","0.927","0.943","0.889","-3.77%"
"2022년 11월 23일","0.955","0.992","0.999","0.921","1.27%"
"2022년 11월 22일","0.943","0.959","0.982","0.927","1.40%"
"2022년 11월 21일","0.930","0.955","1.014","0.919","-3.53%"
