"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.500","2.467","2.522","2.443","-0.14%"
"2022년 12월 16일","2.503","2.463","2.551","2.432","3.95%"
"2022년 12월 15일","2.408","2.369","2.480","2.311","2.42%"
"2022년 12월 14일","2.351","2.216","2.361","2.204","4.21%"
"2022년 12월 13일","2.256","2.252","2.284","2.114","0.22%"
"2022년 12월 12일","2.251","2.262","2.293","2.160","-0.13%"
"2022년 12월 09일","2.254","2.218","2.307","2.193","2.50%"
"2022년 12월 08일","2.199","2.184","2.248","2.153","0.46%"
"2022년 12월 07일","2.189","2.141","2.249","2.128","0.60%"
"2022년 12월 06일","2.176","2.226","2.253","2.158","-3.25%"
"2022년 12월 05일","2.249","2.260","2.273","2.175","0.67%"
"2022년 12월 02일","2.234","2.223","2.283","2.197","-0.62%"
"2022년 12월 01일","2.248","2.282","2.335","2.206","-4.42%"
"2022년 11월 30일","2.352","2.373","2.416","2.316","-0.38%"
"2022년 11월 29일","2.361","2.362","2.420","2.326","-3.16%"
"2022년 11월 28일","2.438","2.356","2.464","2.331","1.71%"
"2022년 11월 25일","2.397","2.284","2.427","2.274","4.54%"
"2022년 11월 24일","2.293","2.313","2.337","2.247","-2.59%"
"2022년 11월 23일","2.354","2.472","2.531","2.324","-5.31%"
"2022년 11월 22일","2.486","2.479","2.533","2.449","-0.24%"
"2022년 11월 21일","2.492","2.503","2.560","2.429","0.46%"
"2022년 11월 19일","2.480","2.480","2.480","2.480","-0.82%"
