"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.648","2.691","2.691","2.631","-1.96%"
"2022년 12월 16일","2.701","2.729","2.729","2.681","0.07%"
"2022년 12월 15일","2.699","2.735","2.735","2.683","-0.70%"
"2022년 12월 14일","2.718","2.805","2.805","2.693","-1.63%"
"2022년 12월 13일","2.763","2.753","2.763","2.728","1.21%"
"2022년 12월 12일","2.730","2.805","2.805","2.700","-0.18%"
"2022년 12월 09일","2.735","2.723","2.735","2.689","1.30%"
"2022년 12월 08일","2.700","2.720","2.735","2.686","-0.37%"
"2022년 12월 07일","2.710","2.754","2.754","2.690","-0.55%"
"2022년 12월 06일","2.725","2.690","2.725","2.677","1.57%"
"2022년 12월 05일","2.683","2.710","2.740","2.669","0.19%"
"2022년 12월 02일","2.678","2.694","2.694","2.657","0.04%"
"2022년 12월 01일","2.677","2.698","2.715","2.668","-0.48%"
"2022년 11월 30일","2.690","2.733","2.733","2.683","-0.99%"
"2022년 11월 29일","2.717","2.653","2.717","2.646","2.64%"
"2022년 11월 28일","2.647","2.690","2.690","2.603","1.53%"
"2022년 11월 25일","2.607","2.584","2.611","2.553","1.72%"
"2022년 11월 24일","2.563","2.580","2.590","2.551","-1.23%"
"2022년 11월 23일","2.595","2.628","2.655","2.589","-1.29%"
"2022년 11월 22일","2.629","2.635","2.635","2.601","-0.08%"
"2022년 11월 21일","2.631","2.670","2.700","2.588","-0.83%"
