"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","1.294","1.248","1.301","1.248","0.00%"
"2022년 12월 16일","1.294","1.270","1.305","1.256","4.19%"
"2022년 12월 15일","1.242","1.199","1.265","1.152","4.11%"
"2022년 12월 14일","1.193","1.200","1.228","1.166","-1.08%"
"2022년 12월 13일","1.206","1.243","1.248","1.163","0.58%"
"2022년 12월 12일","1.199","1.143","1.199","1.143","4.90%"
"2022년 12월 09일","1.143","1.079","1.179","1.067","9.27%"
"2022년 12월 08일","1.046","1.053","1.068","1.031","0.58%"
"2022년 12월 07일","1.040","0.984","1.077","0.984","2.87%"
"2022년 12월 06일","1.011","1.124","1.124","1.010","-9.08%"
"2022년 12월 05일","1.112","1.075","1.112","1.030","5.00%"
"2022년 12월 02일","1.059","1.075","1.097","1.014","-1.67%"
"2022년 12월 01일","1.077","1.074","1.122","1.067","-5.53%"
"2022년 11월 30일","1.140","1.122","1.154","1.120","3.35%"
"2022년 11월 29일","1.103","1.047","1.115","1.045","0.91%"
"2022년 11월 28일","1.093","1.055","1.119","1.050","-0.27%"
"2022년 11월 25일","1.096","0.987","1.098","0.987","11.04%"
"2022년 11월 24일","0.987","0.997","1.010","0.966","-3.52%"
"2022년 11월 23일","1.023","1.078","1.084","1.023","-3.49%"
"2022년 11월 22일","1.060","1.113","1.127","1.052","-2.03%"
"2022년 11월 21일","1.082","1.118","1.161","1.069","-3.99%"
